vendor_id,vendor_name,region,risk_rating
V01081,Humphrey-Baker,APAC,Low
V03331,Walsh-Mccarthy,APAC,Low
V00640,Boyle-Smith,LATAM,High
V03566,   johnston ltd  ,AMER,High
V01993,Harvey-Diaz,AMER,Medium
V01213,West-Wilson,EMEA,High
V01414,"Herman, Bailey and Richmond",AMER,Low
V03155,Rodriguez-White,APAC,High
V01511,Nelson-Dean,AMER,High
V03583,"Banks, Gray and Gonzales",AMER,High
V02187,Hernandez-Hernandez,APAC,
V04006,"Dawson, Edwards and Castaneda",EMEA,High
V02580,Boyle-Torres,EMEA,Low
V00163,"Smith, Gilmore and Johnston",AMER,Medium
V00791,"Porter, Schultz and Allen",LATAM,Medium
V02285,Martinez Inc,APAC,Low
V02023,Mcpherson Ltd,AMER,Low
V02316,Rhodes-Holland,AMER,Medium
V00881,Watson Ltd,APAC,High
V04073,"Alexander, Vincent and Pacheco",AMER,Medium
V02680,Howard-Robinson,LATAM,Medium
V02042,Johnson PLC,AMER,Medium
V04934,"Ayers, Jacobson and Wright",APAC,High
V02553,Palmer-Pearson,APAC,Low
V01663,Perez Group,LATAM,Low
V01514,Compton LLC,AMER,Low
V00143,Gibson Ltd,EMEA,Medium
V00360,Boone-Simmons,AMER,High
V01385,Lopez-Fletcher,EMEA,Medium
V03531,Mccoy and Sons,APAC,Low
V00725,Wagner LLC,AMER,Medium
V01927,Rogers Inc,AMER,Medium
V01835,Jackson-Neal,EMEA,Medium
V02353,"Garza, Carr and Gregory",LATAM,Low
V04664,White-Holland,AMER,Low
V03732,"King, Garrett and Maddox",APAC,High
V00402,Thompson-James,LATAM,High
V04541,"Merritt, Douglas and Chung",AMER,Medium
V01125,   sullivan-doyle  ,LATAM,Medium
V04044,Shepard Ltd,EMEA,Low
V04289,Mitchell-Hudson,AMER,High
V04347,Phelps-Edwards,LATAM,Medium
V03249,Bailey PLC,LATAM,High
V03964,"Campbell, Brewer and Baker",LATAM,Medium
V03030,Moore-Hall,AMER,Medium
V01354,Sparks-Eaton,APAC,Medium
V01185,"Edwards, Rodgers and Davis",LATAM,Low
V02825,"Walker, Foster and Medina",AMER,Low
V00827,"Mccarthy, Evans and Mendez",EMEA,Low
V00420,Thompson Ltd,LATAM,Low
V04046,Galloway PLC,AMER,High
V03584,"Sharp, Ramirez and Mejia",LATAM,Low
V02907,"Grimes, Arnold and Lawson",AMER,Medium
V01154,Anderson-Reyes,LATAM,High
V02563,Jensen-Barnes,APAC,Low
V02435,Williams-Hernandez,AMER,High
V00353,Smith and Sons,APAC,Low
V01049,"Larsen, Hernandez and Ward",AMER,Medium
V02772,Harris Ltd,LATAM,Low
V03516,"Ford, Armstrong and Carroll",AMER,Medium
V00686,"Boyd, Gutierrez and Hill",LATAM,Low
V03724,Lewis-Castro,EMEA,
V00596,Shaw-Carr,APAC,Low
V02532,Allen-Peterson,LATAM,Medium
V00890,"Shaffer, Garcia and Richardson",AMER,Medium
V00202,White-Lewis,AMER,High
V04741,"Harding, Gomez and Jacobs",APAC,Medium
V04448,Smith LLC,APAC,Medium
V00342,"Winters, Newman and Brown",AMER,Medium
V03307,Cardenas-Lopez,EMEA,High
V03833,Daniels and Sons,AMER,Low
V03502,"Alexander, Duran and Benton",APAC,Medium
V04658,"Jenkins, Baker and Coleman",AMER,Medium
V00254,"Garcia, Martin and Jenkins",APAC,Low
V01576,"Ramos, Gomez and Edwards",EMEA,Medium
V01725,"Shaffer, Lewis and Davidson",AMER,Medium
V00857,"Adams, Hodge and Duke",AMER,Low
V01620,Cooper Inc,LATAM,Low
V04766,"Stevens, Howell and Mitchell",APAC,High
V01562,"Jones, Conrad and Clark",EMEA,High
V03222,Smith-Carrillo,EMEA,Low
V03289,"Ramsey, Perez and Miller",AMER,Low
V04613,"Richardson, Stephens and Barnes",AMER,Low
V02258,Aguilar-Holland,AMER,Low
V01727,"Pierce, Wang and Wilson",LATAM,High
V02653,Fox PLC,EMEA,High
V04655,"Palmer, Edwards and Bullock",EMEA,Low
V02011,"Weaver, Anderson and Reed",LATAM,High
V02323,Gutierrez-Marshall,LATAM,Low
V03197,Cowan Inc,AMER,Low
V04510,"Powers, Carrillo and Harris",AMER,High
V04084,"Meyer, Ray and Stephenson",LATAM,Medium
V03423,Bell Ltd,AMER,Low
V04069,"Sharp, Jackson and Garcia",EMEA,
V01218,"Powers, Clements and Cox",LATAM,Low
V02603,Hall-Williams,LATAM,Medium
V01789,Wilson-Carlson,LATAM,Medium
V02956,"Gonzalez, Lopez and Williams",AMER,Low
V01284,"Campbell, Pruitt and Short",APAC,Low
V01294,Miller Inc,APAC,Medium
V00755,"Sanders, Ayala and Johnson",EMEA,High
V03084,Phillips and Sons,EMEA,Medium
V02571,"Wilson, Roberts and Lee",APAC,Low
V04179,Sanders-Morse,AMER,High
V00426,"Brown, Romero and Collins",EMEA,Low
V00212,King-Martinez,LATAM,High
V04215,"Wilson, Madden and Austin",APAC,Medium
V02570,Smith-Howard,APAC,High
V04894,Peterson PLC,EMEA,Low
V02324,"Carroll, King and Scott",AMER,Low
V02219,Vazquez Ltd,APAC,Low
V00204,"Beard, Peters and Black",APAC,Low
V04848,Williams and Sons,EMEA,Medium
V03768,Moore-Carroll,AMER,Medium
V01100,Hill Group,APAC,High
V00052,Walker LLC,AMER,Low
V01617,Todd Inc,APAC,Medium
V02297,"Castillo, Fuller and Adams",AMER,High
V02628,Torres Ltd,APAC,High
V04654,Villa-Baxter,EMEA,High
V04228,"Brown, Brooks and Jackson",AMER,Medium
V01067,"Byrd, Oliver and Martinez",APAC,Medium
V04264,Hicks Ltd,LATAM,Low
V01437,Austin-Duran,EMEA,High
V03545,Conrad-Buck,EMEA,Low
V04248,"Webster, Garza and Abbott",APAC,High
V02944,Murphy-Gomez,AMER,Medium
V01556,Williams and Sons,LATAM,High
V02433,"Wood, Crane and Guzman",EMEA,High
V03568,Jackson Group,EMEA,Low
V03625,Montes-Nguyen,LATAM,High
V03022,"Phillips, Galloway and Garrett",LATAM,Low
V04561,Rosales PLC,AMER,Medium
V02278,Peters Ltd,AMER,Low
V00471,Walker-Flores,APAC,Medium
V01595,Kane and Sons,APAC,High
V04580,Duffy-Stanley,AMER,High
V02499,"Miller, Mcdowell and Curtis",APAC,High
V04366,Haney Ltd,EMEA,Medium
V02513,"Chambers, Morrison and Thompson",LATAM,Low
V01963,"Carroll, Ramirez and Rodriguez",LATAM,High
V00195,"Hernandez, Thompson and Boyd",EMEA,Medium
V03158,Peterson-Munoz,EMEA,Low
V04629,Mendoza-Lewis,EMEA,Medium
V00941,Walker PLC,EMEA,Low
V03617,Henry PLC,APAC,High
V03696,Benson PLC,EMEA,Low
V04600,"Valdez, Williams and Richards",AMER,Medium
V01285,Robertson-Hicks,AMER,Medium
V03320,"Jordan, Cook and Alexander",APAC,Low
V02639,   garcia plc  ,APAC,Medium
V00955,Dawson Inc,LATAM,Low
V03273,Lang Group,LATAM,Medium
V02775,Sims-Weber,AMER,Low
V01716,"Rice, Miller and Ramsey",APAC,Medium
V03632,Lamb-Coleman,LATAM,Low
V01405,Bowman Group,APAC,High
V01041,"Jones, Mcmahon and Spence",EMEA,Low
V02418,Mitchell-Glover,LATAM,Low
V01478,Adkins-Meyer,AMER,Medium
V02682,Ramos Inc,AMER,High
V00315,"Becker, Taylor and Davis",LATAM,Medium
V01159,Martin Group,APAC,Medium
V04895,"Nichols, Mendoza and Middleton",EMEA,Low
V02341,Clark Ltd,AMER,Medium
V04400,Clark Ltd,LATAM,Medium
V04182,Key-Ramos,EMEA,Medium
V02983,Torres LLC,LATAM,
V00991,Andrade-Mendoza,APAC,High
V03275,Martinez and Sons,AMER,Low
V04586,Scott Group,LATAM,Medium
V03448,Barry LLC,LATAM,High
V01286,Williams-Villanueva,APAC,
V03187,"Gray, Bailey and Farley",AMER,Low
V03212,Allen-Beltran,APAC,Low
V00380,Boone LLC,EMEA,Low
V03973,Flores-Moreno,EMEA,Low
V01872,Brown PLC,APAC,Medium
V02300,"Meadows, Robles and Anderson",EMEA,Low
V01603,Duncan-Williams,LATAM,High
V01957,Jones PLC,AMER,High
V03587,"Romero, Reilly and Mitchell",APAC,High
V00873,Kramer-Shannon,AMER,Medium
V03372,Johnson LLC,LATAM,Medium
V03907,"Frank, Holland and Ferguson",EMEA,Medium
V00858,"Ochoa, Taylor and Brady",LATAM,Medium
V03425,Glover-Barrett,EMEA,High
V00325,"Diaz, Gibbs and Smith",EMEA,Medium
V03129,"Black, Chandler and Curtis",EMEA,Low
V02623,"Todd, Sharp and Murray",AMER,Medium
V00260,Dean-Jimenez,APAC,High
V00300,Harvey-Allen,APAC,Medium
V01190,Nelson-Cruz,EMEA,Medium
V03573,"Sellers, Strong and Gomez",AMER,Medium
V01174,Gonzalez-Gonzalez,APAC,Medium
V02782,Morrison-Hatfield,EMEA,Low
V03364,"Martin, Tucker and Brown",AMER,
V00049,Hickman Ltd,LATAM,Low
V00058,"Johnston, Sanchez and Kennedy",EMEA,Medium
V04160,"Cooper, Beltran and Wright",APAC,Low
V03769,"Hamilton, Brewer and Fleming",EMEA,Medium
V00201,"Barnett, Rogers and Snyder",APAC,High
V03274,Mooney Group,LATAM,High
V03745,"Powell, Monroe and Caldwell",EMEA,High
V01449,Ruiz-Austin,APAC,Medium
V04099,Oconnell and Sons,LATAM,Low
V01761,"Castro, Garcia and Daniels",EMEA,Low
V04622,Harris LLC,APAC,High
V02203,Hahn-Ramsey,LATAM,Medium
V02776,"Martin, Carter and Gray",APAC,Low
V02883,"Garcia, Weiss and Young",LATAM,Low
V01012,"Robinson, Fox and Smith",AMER,Medium
V03700,Hill Group,APAC,Medium
V00125,Scott Ltd,APAC,Medium
V02823,Wise-Salinas,APAC,Medium
V00673,Nunez-Stephens,APAC,High
V03277,Smith-Logan,AMER,High
V02599,Foster LLC,EMEA,Low
V00574,Williams-Williams,AMER,Low
V04262,Colon Ltd,EMEA,Medium
V04271,Smith-Allen,EMEA,Medium
V00119,May-Ross,AMER,Medium
V00373,Reynolds Ltd,APAC,High
V01798,Maldonado LLC,AMER,Medium
V01054,Ruiz-Jacobson,EMEA,Medium
V04936,"Haynes, Garcia and Burnett",AMER,Low
V04886,Sanford-Wilson,LATAM,Medium
V00568,Landry PLC,LATAM,Medium
V00730,"Li, Craig and Drake",AMER,Medium
V03004,"Velazquez, Gordon and Johnson",AMER,Medium
V03049,Garcia LLC,APAC,High
V03483,Bell-Cooper,LATAM,Medium
V03810,Brewer and Sons,APAC,High
V02180,"   robertson, powers and kelley  ",AMER,Medium
V04332,"Mueller, Cox and Ford",LATAM,High
V03177,Miller Ltd,EMEA,Low
V01636,Reed LLC,EMEA,High
V02678,Jackson-Powers,EMEA,Medium
V01922,Wilson PLC,AMER,Low
V01046,Terry-Bowen,LATAM,Medium
V00591,"Williams, Castillo and Warren",APAC,High
V00598,Thornton PLC,LATAM,
V00343,Lopez-Martinez,LATAM,Low
V03569,Cannon-Dawson,EMEA,Medium
V02768,   warren-pena  ,APAC,Low
V02360,Hall-Robinson,AMER,High
V00400,Duran LLC,EMEA,Medium
V00527,   osborn-cochran  ,AMER,Medium
V00171,Meadows PLC,EMEA,Medium
V02031,Gould LLC,APAC,Low
V00953,"Acosta, Garcia and Moreno",AMER,High
V01806,Rodriguez-Campbell,LATAM,
V02425,"Fox, Chapman and Stone",EMEA,Low
V04420,"Becker, Gregory and Jones",EMEA,High
V02132,Tate Inc,AMER,High
V02171,Mitchell Inc,LATAM,Low
V04964,Goodman PLC,EMEA,Low
V02484,"Roberts, Stanton and Smith",APAC,Low
V02960,Fisher PLC,EMEA,High
V01508,"Patel, Adams and Lopez",AMER,Low
V03520,Lutz PLC,EMEA,High
V04464,"Thomas, Nelson and Flores",AMER,Low
V01180,Hernandez-Davis,APAC,
V00106,Nolan and Sons,LATAM,Low
V02854,"Powell, Johnson and Allen",LATAM,Medium
V00952,Blake Group,LATAM,Medium
V02862,"   walker, matthews and archer  ",APAC,Low
V04136,"Glenn, Freeman and Carter",EMEA,Medium
V04612,Smith-Warren,APAC,
V02850,Howe Inc,LATAM,Medium
V03968,"Ruiz, Martin and Jones",AMER,High
V03224,"Knapp, Miller and Reyes",LATAM,Medium
V04900,"Perez, Sandoval and Durham",APAC,High
V01792,George Ltd,EMEA,Low
V00200,Christensen PLC,AMER,
V01712,Carter and Sons,LATAM,Low
V01276,"Moore, Daniels and Powell",EMEA,Low
V04199,"Alvarez, Edwards and Aguirre",AMER,Low
V03895,Ellis Ltd,EMEA,High
V01644,Berry Group,AMER,Low
V04142,Bowman-Murphy,LATAM,Low
V00997,Durham-Shaw,EMEA,Medium
V02965,Martinez LLC,LATAM,Medium
V02068,"Alvarez, Benson and Wilson",AMER,High
V01585,"Short, Ellison and Dixon",APAC,Medium
V00165,Castaneda-Ashley,AMER,Medium
V02951,Ruiz LLC,AMER,Medium
V00899,"Cruz, Richmond and Edwards",AMER,Medium
V00181,Wells Inc,LATAM,Medium
V03697,Rivera-Brown,APAC,Medium
V04973,"Tucker, Robinson and Fry",AMER,Low
V04354,Perry PLC,AMER,Low
V01251,Thomas-Santiago,EMEA,
V02663,"Carter, Hendricks and Wolfe",LATAM,
V01687,"Cox, Mills and Cruz",AMER,Medium
V03301,Bray-Morris,EMEA,Medium
V02906,Rice Ltd,EMEA,Low
V00279,Pollard and Sons,AMER,Medium
V01990,"Norton, French and Miller",AMER,High
V00977,Anderson Group,APAC,Medium
V04114,Ramirez Group,APAC,Low
V02067,"Castillo, Graham and Scott",LATAM,High
V04729,Sanchez Inc,AMER,High
V04939,"Allen, Russell and Maldonado",LATAM,High
V01183,   williams-li  ,APAC,High
V01338,Sanders PLC,EMEA,
V03156,Lowery Group,AMER,Low
V04048,Smith-James,LATAM,Low
V02969,Tucker-Hodges,APAC,Low
V02898,Sutton Group,AMER,Medium
V00740,Miller Group,AMER,High
V01888,Mendez Inc,EMEA,High
V02577,Cameron Inc,LATAM,
V00731,Rodriguez Inc,AMER,Medium
V00872,Kelley-Anderson,APAC,High
V01273,"Turner, Tyler and Pierce",APAC,High
V01028,Reed LLC,AMER,Medium
V02479,Miller-Fields,APAC,Medium
V04462,Wells and Sons,APAC,High
V03007,Simpson-Patel,LATAM,Low
V04641,Lucas-Campos,LATAM,Medium
V02535,"Gonzales, Davis and Griffin",AMER,Low
V02666,"Miranda, Nguyen and Hayes",LATAM,High
V01549,Weaver-Gibson,EMEA,High
V02959,Moyer-Bird,EMEA,Medium
V04196,Heath-Andersen,AMER,High
V04416,Harvey Group,APAC,Medium
V00875,Smith-Noble,APAC,High
V04282,Williams-Wang,EMEA,Medium
V01225,"Rodriguez, Prince and Vasquez",EMEA,High
V01721,"Hall, Roberts and Lee",LATAM,High
V01281,"Austin, Oliver and Haley",APAC,High
V03985,Schmitt LLC,LATAM,High
V04850,Solomon-Le,LATAM,Medium
V01724,"   duarte, gutierrez and cook  ",AMER,High
V02667,Clark-Williams,AMER,High
V00297,Howard-Jordan,AMER,High
V04859,"Payne, Ryan and Campos",APAC,
V00735,   branch and sons  ,AMER,Low
V04722,"Jones, Wiggins and Oliver",AMER,Medium
V03529,"Edwards, Brown and White",EMEA,High
V02291,Tate Ltd,APAC,Medium
V03915,Pope and Sons,APAC,Medium
V03094,Cannon Group,APAC,Low
V00627,Lopez-Curry,APAC,Low
V01984,Sawyer Group,AMER,Low
V03623,"Myers, Howard and Castillo",EMEA,High
V00069,Russell Group,LATAM,High
V01558,Washington Inc,LATAM,Low
V02282,Carney Group,EMEA,Medium
V01547,"Mcdonald, Dillon and George",AMER,High
V02765,Conrad Group,APAC,Medium
V01516,Hall and Sons,AMER,Low
V00450,Jones Inc,AMER,Medium
V02697,Smith-Lewis,LATAM,Medium
V01989,Wolfe-Salazar,EMEA,Low
V04899,"Webb, Willis and Terry",LATAM,High
V00797,Rodriguez and Sons,LATAM,Low
V01597,"Reyes, Torres and Williams",LATAM,Medium
V01361,"Whitaker, Johnson and Williams",AMER,High
V02679,Byrd and Sons,AMER,High
V02724,"Braun, Mays and Martinez",AMER,Medium
V02387,Mitchell-Jackson,AMER,Low
V03317,Johnson-Stanley,EMEA,Medium
V01278,Rivera-Carter,EMEA,
V02662,Hill Ltd,APAC,Low
V00998,Nelson-Johnson,AMER,Low
V03298,"Barron, Church and Gutierrez",EMEA,Medium
V00712,Tran-Silva,LATAM,Medium
V01781,"Robles, Nguyen and Banks",APAC,High
V04793,Rodriguez-Hernandez,LATAM,Medium
V03462,"Ruiz, Lowery and Baker",LATAM,High
V03917,Ellis Ltd,APAC,High
V03695,Collins and Sons,EMEA,Medium
V02750,Hicks-Burns,AMER,Low
V04948,Sullivan and Sons,LATAM,High
V03905,Jones-Butler,AMER,
V03151,"Nicholson, Smith and Farrell",AMER,Medium
V02932,"Sutton, Williams and West",EMEA,Medium
V00621,Santos-Avila,APAC,Medium
V04653,"Black, Welch and King",EMEA,Medium
V04563,"Sanders, Colon and Gilmore",EMEA,Low
V04555,"Daniels, Ward and Reynolds",AMER,Medium
V00197,Marshall-Petersen,EMEA,Medium
V01965,   robinson-phillips  ,LATAM,Low
V01935,Schwartz-Harris,AMER,High
V03719,Dawson-Larsen,AMER,Medium
V04238,Rodriguez-Vega,AMER,High
V03311,Robinson LLC,LATAM,High
V04531,Conrad-Clay,LATAM,
V03467,Young Inc,EMEA,Medium
V02059,Roberts-Henry,AMER,Medium
V02195,Lucas-Johnson,LATAM,Medium
V02791,"Ramirez, Lyons and Briggs",AMER,High
V00478,"Bentley, Lynch and Henderson",LATAM,High
V03570,Newton-Martinez,APAC,Medium
V04345,Buchanan Inc,AMER,Medium
V01837,Soto PLC,LATAM,
V00523,Green LLC,LATAM,Low
V03430,"Bailey, Williamson and Powell",LATAM,Low
V03999,Rodriguez-Taylor,AMER,Medium
V03246,Wilson-Robinson,AMER,Low
V02192,Wilson and Sons,APAC,Low
V01194,   pruitt-webb  ,EMEA,High
V03918,Goodwin-Sherman,APAC,Medium
V04693,Graham-Valencia,AMER,Low
V02243,Smith Inc,APAC,High
V03053,Gomez LLC,AMER,High
V03637,Gould PLC,AMER,Medium
V03575,Wilson-Merritt,APAC,
V01885,Jones-Krause,LATAM,High
V01961,Cortez-Chen,AMER,
V01309,"Thomas, Williams and Armstrong",EMEA,Low
V00393,Webster Inc,AMER,High
V03995,Harrington Group,AMER,Low
V00126,Smith-Frost,LATAM,High
V04841,Lopez-Jimenez,APAC,Low
V02440,Lewis-Fuentes,EMEA,
V03437,Brown LLC,APAC,Low
V04615,"   henderson, brown and baker  ",AMER,High
V00862,Burns-Ray,APAC,High
V04588,Barker-Oliver,APAC,High
V01921,"Jackson, Garza and Meyers",AMER,High
V01777,Chavez-Johnson,AMER,Low
V02573,Gonzalez and Sons,LATAM,Low
V01834,Yu-Yates,EMEA,Low
V01816,May Group,AMER,Medium
V02744,Waller-Brooks,APAC,High
V00946,"Mueller, Stevenson and Sanchez",APAC,Low
V01931,"Bennett, Moore and Hobbs",APAC,Medium
V02502,"Howard, Thompson and Tate",APAC,Low
V03404,"Wallace, Brown and Martinez",APAC,
V03681,"Goodman, Martin and Kim",AMER,Medium
V04499,Johnson-Espinoza,APAC,Medium
V01877,"Pratt, Lopez and Rodriguez",APAC,Low
V04403,Jacobs-Lopez,APAC,Low
V00530,"Mckinney, Graves and Thompson",AMER,
V04476,"Chavez, Martin and Anderson",EMEA,Medium
V03391,Aguirre-Golden,EMEA,High
V01986,"Marshall, Schultz and Dalton",LATAM,Low
V04988,"Wilkinson, Guzman and Elliott",LATAM,High
V00268,Jimenez Ltd,APAC,High
V01956,Kane-Bennett,APAC,Low
V00466,Cole-Palmer,AMER,Low
V03497,"Sampson, Tucker and Miller",AMER,Medium
V02542,"Walton, Hall and Greene",AMER,Low
V00356,Strickland-Palmer,APAC,Medium
V04539,Johnson-Jimenez,APAC,Low
V00935,Williams LLC,EMEA,Medium
V04054,Blair-Merritt,APAC,Low
V02351,"Lane, Simon and Duarte",EMEA,Low
V02094,Vazquez-Bowers,EMEA,
V02559,Davidson and Sons,APAC,
V02038,"Wilson, Johnson and Williamson",EMEA,Medium
V00913,Lewis-Livingston,EMEA,Low
V03041,"   michael, anderson and carrillo  ",LATAM,Medium
V03227,Phillips PLC,APAC,Medium
V02905,Chapman-Roman,EMEA,Medium
V00921,"Ashley, Allen and Sanchez",APAC,High
V02530,Watkins Ltd,EMEA,Low
V04731,"Li, Mason and Jacobson",AMER,High
V00792,"Moore, Henderson and Bennett",EMEA,Low
V00242,Larson-Holloway,EMEA,Low
V04832,Rodriguez Group,EMEA,High
V03580,Quinn Ltd,APAC,High
V04267,Jones-Harris,AMER,Low
V02763,"Booth, Rodriguez and Armstrong",EMEA,Low
V00233,"Clark, Guerrero and Moore",EMEA,Low
V02756,"Hernandez, Wright and Lane",APAC,Low
V03337,Patterson-Smith,EMEA,Medium
V01886,Bishop and Sons,LATAM,Low
V04734,"Flowers, Berry and Ramirez",APAC,Medium
V00480,Barnes PLC,LATAM,Medium
V02421,Gibson-Thomas,APAC,Low
V04246,Brown-Haas,LATAM,Low
V01171,"Obrien, Taylor and Rivas",LATAM,Medium
V03125,Martin-Fleming,EMEA,
V02246,Williams PLC,LATAM,Medium
V01535,Perkins Ltd,AMER,Low
V02321,Carroll-Arnold,EMEA,Medium
V02210,Robinson-Rodriguez,AMER,Low
V01637,Garrett-Young,AMER,Medium
V02229,Love-Mcdowell,APAC,Medium
V01608,"Gilbert, Fitzgerald and Sanchez",AMER,Low
V00173,White-Green,APAC,High
V04108,"Garner, Fox and Chan",EMEA,High
V00936,Mora-White,APAC,High
V00144,"Lee, Horton and Snyder",LATAM,Medium
V02726,Romero Group,AMER,
V04528,"Walter, Jones and Butler",EMEA,Low
V04002,Andrews-Hoffman,AMER,Low
V03405,Webb-White,EMEA,Low
V04227,Smith-Obrien,EMEA,Low
V00511,Mendez-Graham,APAC,Medium
V04524,Vincent LLC,AMER,Medium
V00933,"Craig, Wilson and Yang",LATAM,High
V03633,Gaines-Adams,AMER,Low
V04385,Tran-Burns,LATAM,Medium
V00737,"Frey, Santos and Johnson",EMEA,Low
V04768,Stephenson Group,LATAM,Low
V04779,Mooney-Clark,APAC,Medium
V00814,"Thompson, Moore and Castro",AMER,Low
V01613,"Rios, Carrillo and Jackson",LATAM,
V04840,Randall LLC,EMEA,High
V00599,Hoffman Ltd,LATAM,Medium
V00700,"Ramsey, Hansen and Mendoza",EMEA,Medium
V04642,Allen PLC,AMER,Medium
V04190,Burton-Oneal,APAC,Low
V04995,"Huang, Hall and Delacruz",EMEA,Medium
V01486,Miller Group,APAC,Medium
V02464,Weaver LLC,LATAM,High
V00215,"Washington, Hardy and Bray",EMEA,High
V03342,"Mooney, Conley and Fox",LATAM,Low
V02492,Reid-Petty,EMEA,Medium
V04309,"Ferguson, Montgomery and Jackson",AMER,Low
V02109,Richardson-Lawrence,AMER,High
V00280,"Reyes, Chase and Jenkins",AMER,Low
V04538,Brown Ltd,EMEA,
V00499,"Kennedy, Johnson and Lucas",AMER,High
V01000,Stokes Group,APAC,Low
V03991,"Stevenson, Salinas and Williamson",LATAM,
V04959,Ramos-Harris,APAC,Medium
V03269,Hoffman Ltd,LATAM,Low
V03556,Bartlett-Murphy,LATAM,Low
V04897,Garcia-Hunt,AMER,Low
V04727,Ferguson Group,APAC,Medium
V01447,"Clark, Carpenter and Nguyen",APAC,High
V04379,Navarro Inc,AMER,High
V04090,Sanders Inc,APAC,High
V03629,"Jenkins, Young and Carter",AMER,Low
V01831,Austin-Berger,APAC,High
V00554,Ballard Ltd,EMEA,Medium
V02303,"Crane, James and Ross",AMER,Medium
V01475,Edwards Ltd,LATAM,High
V03034,"White, Campbell and Collins",EMEA,Medium
V04572,Flowers and Sons,APAC,High
V04784,Jensen-Krause,APAC,High
V00839,Mckinney-Wallace,EMEA,Medium
V04944,Sullivan PLC,AMER,Medium
V04523,Farrell PLC,AMER,Medium
V01865,Navarro PLC,LATAM,Low
V00275,Monroe-Carpenter,LATAM,
V00915,"Wang, Henderson and Morales",AMER,Medium
V03352,"Figueroa, Mcpherson and Howard",AMER,Medium
V04644,"Johnson, Jones and Miller",LATAM,
V02707,Reyes-Davidson,AMER,
V04660,"Phillips, Mcdaniel and Ward",AMER,Low
V02761,"Turner, Ponce and Barrett",APAC,High
V02842,"Chase, Long and Anderson",EMEA,Medium
V01481,"King, Manning and Brady",AMER,Low
V01369,Hanson PLC,APAC,High
V00644,"Young, Contreras and Marshall",LATAM,Medium
V04662,"Thompson, Hardy and Walter",APAC,Medium
V00239,"Guerrero, Peck and Coleman",AMER,High
V00699,"Morrison, Russo and Lopez",APAC,Low
V04375,"Parker, Cole and Hamilton",EMEA,Medium
V02915,"Fowler, Wood and Waters",AMER,High
V01022,Gray Ltd,AMER,High
V02472,"Willis, Vasquez and Goodwin",LATAM,High
V02268,Anderson-Mcclain,LATAM,High
V03824,"Watson, Wells and Rogers",LATAM,High
V04812,"Hernandez, Williams and Ruiz",AMER,Medium
V00148,"Holmes, Williams and Wright",AMER,High
V04357,Beck and Sons,AMER,Medium
V02669,"Brady, James and Reese",EMEA,Medium
V03740,Edwards PLC,LATAM,Low
V04137,"Garcia, Bright and Morrison",AMER,Medium
V02622,Hall-Matthews,AMER,High
V03547,Dixon-Norman,AMER,High
V04101,Martinez Ltd,APAC,Low
V01627,"Williamson, Brown and Pena",APAC,Medium
V00263,Martinez-Dudley,LATAM,Low
V03675,"George, Savage and Adams",APAC,Low
V02526,Mooney and Sons,LATAM,Low
V02279,"Yates, Brown and Hernandez",LATAM,Low
V03131,Ward-Chase,LATAM,Low
V02403,"Harris, Stephens and Kramer",APAC,High
V00362,Lam LLC,APAC,Medium
V02881,"Henry, Edwards and Bartlett",EMEA,
