contract_id,vendor_id,item_name,negotiated_price,valid_from
C001157,V02434,Functionalities,1247.9,2024-03-27
C004051,V00307,E-business,3691.93,2024-02-15
C000371,V03474,Channels,3216.16,2024-07-01
C003976,V03672,Action-items,3981.68,2025-06-01
C000572,V02652,Experiences,-4020.42,2023-12-02
C001566,V04066,Networks,3002.57,2023-12-05
C003623,V02557,Action-items,1267.89,2024-05-19
C004751,V01448,Methodologies,3306.0,02/14/2025
C001863,V03999,Markets,2346.62,2023-06-25
C001560,V01241,Convergence,4979.27,11/18/2023
C001880,V03494,Niches,4058.31,2025-05-16
C004452,V02232,Infrastructures,4592.0,2023-06-13
C004486,V01733,Users,1683.32,2024-03-06
C003468,V02412,Info-mediaries,337.35,2026-03-18
C003758,V03364,Metrics,481.51,2023-07-05
C004984,V00762,Markets,2771.71,2023-12-03
C002333,V00546,Paradigms,3490.22,2024-12-30
C002696,V02557,Experiences,945.12,2026-03-17
C002161,V00300,Users,2424.86,2024-08-27
C003903,V03186,Users,4720.15,2023-11-17
C000117,V00716,E-tailers,686.52,2024-11-25
C000611,V04410,Roi,3672.99,2024-03-18
C004668,V03542,Markets,3778.93,2025-10-25
C001647,V00964,,1561.65,2025-01-22
C003504,V00635,Communities,1465.27,2023-10-29
C004622,V03970,Markets,4126.97,2025-11-23
C003665,V04323,E-markets,435.39,2025-02-24
C003815,V02693,Action-items,228.54,2024-11-25
C003026,V01333,Users,2881.52,2023-08-31
C003126,V01419,Metrics,2841.79,2025-03-31
C003907,V04088,Services,3116.89,2026-04-02
C001665,V04686,E-services,1744.53,12/18/2023
C002749,V01608,Users,3866.23,2024-10-27
C001713,V02992,Relationships,-4326.37,2026-01-22
C002759,V04287,Relationships,4976.69,2023-07-29
C000100,V04997,Models,3914.46,2025-12-08
C000298,V04381,E-commerce,2131.32,2024-05-22
C000431,V03657,Schemas,2445.14,2025-01-09
C004971,V02146,E-services,3119.22,2023-12-15
C000712,V04663,Systems,508.21,2024-02-12
C000120,V00368,Roi,2360.5,2024-09-29
C004876,V01894,Networks,646.83,2025-01-11
C002944,V03273,Communities,4933.19,2023-05-08
C000476,V02334,Channels,2591.79,2025-06-16
C003023,V00806,Networks,2654.21,2024-04-19
C004865,V00383,E-services,464.73,2024-12-31
C004884,V01925,Relationships,2105.68,2025-03-26
C002283,V01531,Paradigms,4797.76,2025-07-23
C003063,V03834,E-tailers,4736.78,2025-11-08
C000896,V01022,Models,4567.86,2024-04-15
C000176,V04146,Networks,2773.33,2023-10-28
C000444,V04245,E-tailers,4339.56,2026-03-30
C003208,V04352,Users,656.1,2024-08-15
C001825,V01522,Experiences,161.89,2026-04-11
C002131,V01049,E-tailers,1879.54,2023-06-04
C002005,V03139,Paradigms,2206.45,2025-12-23
C004956,V03818,Systems,1207.12,2024-10-27
C001353,V03268,Solutions,4015.92,2024-01-25
C003863,V02949,Users,4223.77,2024-07-31
C004917,V02959,Schemas,3404.82,2023-11-01
C004376,V01273,Metrics,2745.56,2024-12-07
C003916,V03259,E-services,2277.48,2025-12-31
C004926,V01187,Channels,1338.53,2023-12-27
C001762,V03560,Solutions,3586.03,2023-09-15
C004942,V04102,E-services,2756.2,2026-01-09
C004598,V02783,E-services,618.39,2023-04-30
C004758,V03076,Functionalities,4957.08,2024-10-29
C002477,V02034,Users,2674.71,2024-07-28
C001724,V03668,Roi,2175.73,2023-05-23
C003931,V01892,Solutions,3760.44,2026-02-03
C002291,V03909,Platforms,3209.78,2024-05-23
C003696,V02988,Channels,654.0,2025-08-15
C004499,V01639,Experiences,1469.32,2024-09-09
C004928,V00844,Roi,2266.65,2026-02-09
C000034,V03652,Infrastructures,933.25,2023-08-06
C003740,V00977,E-commerce,2326.37,2025-07-11
C000726,V01488,Roi,377.83,2025-12-21
C004498,V04080,Communities,2876.56,2024-12-01
C000501,V04219,Bandwidth,287.93,2025-03-13
C003855,V04976,Experiences,4529.17,12/11/2023
C002919,V02422,Schemas,2237.4,2024-02-20
C000293,V03321,Architectures,153.62,2024-03-18
C003994,V02458,Channels,1656.95,2025-10-27
C002872,V00611,E-business,-3964.63,06/03/2023
C001600,V04162,Systems,2121.88,2024-04-19
C003599,V00022,Infrastructures,4669.51,2024-02-01
C003827,V01126,E-markets,4080.48,2024-06-19
C004260,V04152,Paradigms,4707.74,2024-11-30
C002437,V00990,Solutions,4651.36,2024-11-30
C000069,V04411,Models,4895.44,2025-12-22
C002355,V00591,Communities,1056.08,2023-05-31
C000870,V04982,Bandwidth,3794.52,2025-06-23
C003965,V04453,,3779.92,2025-01-07
C002991,V03810,E-services,4026.74,2024-04-15
C004614,V00325,Networks,1940.33,2024-08-17
C001878,V01670,Users,155.45,2024-06-20
C004053,V02041,Users,4105.02,2023-12-18
C002672,V04895,Markets,3391.47,2025-07-30
C002045,V01666,Schemas,3690.13,2024-07-15
C003409,V02638,Models,3434.28,2026-04-15
C002427,V02127,Solutions,19.15,2023-11-13
C000618,V01733,Solutions,368.99,2024-09-05
C003048,V04935,Networks,4597.5,2024-10-30
C001869,V04954,Users,4625.7,2023-06-17
C003720,V02577,Niches,2776.57,2024-03-15
C004752,V01030,Channels,3537.5,2023-08-18
C004226,V00366,E-markets,3450.63,2024-01-13
C003509,V04151,Schemas,3822.64,07/09/2024
C002472,V02906,E-services,3270.78,2023-05-26
C001712,V04742,Markets,1676.9,2025-03-25
C004981,V02892,Web-readiness,4367.6,2024-06-28
C000283,V03248,Metrics,3417.88,2026-03-22
C004448,V01959,Users,3639.03,2025-09-14
C002118,V04801,E-tailers,237.05,2025-03-14
C001389,V01797,Roi,3874.9,2025-07-12
C002568,V04260,Solutions,958.25,2023-05-31
C001622,V03366,Models,2125.57,2024-03-09
C004211,V02948,Partnerships,2617.02,2024-03-14
C000742,V00346,E-markets,1695.89,2023-11-27
C001726,V03888,Platforms,194.22,2026-03-14
C001848,V04808,E-markets,3288.11,2024-10-09
C002993,V01261,Services,3092.33,2025-02-19
C001082,V02842,Markets,2985.38,2026-03-12
C002373,V00332,Web-readiness,1124.08,2025-08-14
C004910,V01191,Communities,1061.6,2024-01-08
C003692,V04988,Relationships,707.88,2026-04-08
C002742,V01745,Action-items,220.04,2025-02-06
C002378,V00992,Functionalities,-3401.08,2025-08-21
C000996,V00336,,2152.08,2026-03-27
C000747,V02863,Communities,4452.95,2024-06-25
C001992,V03160,Functionalities,2523.63,2023-10-28
C003054,V04379,Schemas,571.4,2025-05-12
C004073,V02749,Channels,4943.38,2026-01-14
C000783,V01989,Paradigms,4323.5,2025-07-09
C004433,V04276,Users,2558.93,2023-09-14
C001069,V01208,Services,1861.18,2025-09-30
C003733,V03311,Metrics,712.57,2024-06-21
C001515,V01347,E-markets,968.02,06/05/2024
C002899,V04294,Convergence,728.43,2023-08-28
C003485,V00946,Channels,2785.23,2024-12-25
C000367,V04530,Metrics,328.98,2026-01-01
C000075,V04202,Schemas,1467.74,2024-11-26
C002487,V02256,Communities,4665.89,2024-11-20
C004957,V00258,E-tailers,10.62,2026-01-05
C001667,V02679,Niches,447.08,2026-03-19
C004332,V03632,Relationships,4252.26,2025-04-30
C003831,V00427,Convergence,655.77,2024-12-16
C001668,V03226,Schemas,2817.65,2026-04-10
C003373,V04680,Systems,4442.08,2026-02-16
C004418,V00770,Metrics,4780.33,2023-07-20
C000303,V01719,Info-mediaries,1620.35,2024-03-27
C001056,V01670,Paradigms,3827.25,2025-05-22
C003472,V03583,Architectures,1153.75,2023-06-27
C003948,V03614,E-tailers,2498.43,2023-07-16
C000988,V01115,Models,206.18,2025-08-14
C001678,V00063,Users,2013.25,2023-09-03
C003417,V00744,E-tailers,305.65,2025-10-20
C002694,V01481,Metrics,416.1,2025-08-02
C004655,V00997,Channels,1763.29,2024-06-09
C001643,V00945,E-services,473.69,2025-11-23
C001682,V04003,Convergence,2014.51,2025-01-02
C000823,V02251,Models,2008.76,2023-11-09
C004508,V03225,E-tailers,4386.27,2024-01-25
C001743,V04378,Convergence,1459.01,2025-10-22
C003834,V03009,Relationships,591.71,2025-09-15
C003934,V03502,Functionalities,678.32,2026-03-13
C004090,V02604,Roi,81.15,2023-12-16
C003210,V00900,Users,-2818.97,2024-09-07
C001465,V01233,Partnerships,1073.9,2026-01-14
C002364,V01399,Action-items,3646.2,2023-10-31
C000319,V00079,Communities,1823.77,2023-09-07
C002415,V00810,Niches,-882.45,2026-03-22
C002975,V00995,Systems,470.66,2024-02-26
C001981,V01493,E-services,3940.48,2025-12-16
C002888,V04234,E-markets,257.64,2024-12-04
C002753,V01966,Markets,2091.42,2023-07-10
C000026,V00482,Infrastructures,308.27,2024-03-25
C001505,V03128,Markets,1182.84,2026-01-26
C000087,V01409,Methodologies,4580.73,2025-11-05
C001190,V00554,E-services,823.54,2024-02-13
C000050,V03865,Web-readiness,1787.49,2026-03-26
C003338,V01362,Niches,2367.97,2023-08-25
C004953,V00765,Schemas,704.64,2024-05-31
C003928,V00400,E-services,4917.86,2024-04-24
C003957,V00988,Niches,4817.31,2026-03-24
C003284,V03850,Markets,1964.63,2025-08-06
C000221,V01883,Bandwidth,1465.95,2023-11-06
C004601,V01713,Platforms,358.88,2024-10-12
C004940,V01466,Infrastructures,4229.46,2023-09-22
C003705,V04603,Models,-1940.64,2024-06-19
C000843,V01160,Web-readiness,876.65,2025-10-03
C003008,V01608,E-business,567.36,2024-11-03
C004722,V00990,Users,1859.5,2023-07-26
C001836,V03144,Users,-2552.06,2025-09-10
C002167,V00399,Paradigms,3546.68,2024-11-28
C000939,V03532,Roi,2886.77,2023-08-27
C002535,V03690,E-business,2175.75,2023-10-03
C004938,V04851,E-services,4335.25,2025-08-13
C002648,V03637,Roi,4197.99,2024-05-15
C001001,V04605,Partnerships,3550.23,2025-11-02
C000126,V02604,Solutions,3504.04,2023-12-06
C000415,V02741,Experiences,1142.8,2023-08-10
C002714,V01087,E-tailers,1669.51,2023-06-08
C001106,V01832,,3407.76,2024-01-16
C001195,V03416,Systems,2563.14,2026-03-02
C000631,V03776,Solutions,3505.57,2023-04-22
C000086,V03968,Platforms,2652.89,2023-12-03
C001273,V03943,E-tailers,54.24,2025-07-14
C000853,V03096,Schemas,200.94,2024-06-18
C002444,V01265,Partnerships,3040.31,2023-08-18
C003520,V03815,Schemas,3131.51,2024-11-23
C002232,V01057,E-business,3760.05,2026-01-08
C000646,V02570,Paradigms,1637.46,2025-10-21
C004743,V04190,Niches,236.58,2024-09-12
C000809,V04181,Infrastructures,2981.21,2026-03-06
C003598,V01215,E-services,4385.92,2025-09-12
C000399,V04344,Metrics,1331.51,2024-12-24
C001305,V01323,Services,1915.31,2025-02-01
C000837,V01764,Methodologies,1534.69,2024-07-21
C000067,V02314,Users,1376.61,2024-11-15
C001246,V04421,Functionalities,4307.87,2026-01-11
C002611,V02091,E-commerce,1155.99,2023-08-14
C001057,V02540,Solutions,985.88,2024-12-05
C000103,V03378,Relationships,341.48,2024-11-27
C003427,V02565,E-services,1918.25,2024-12-17
C004255,V03351,Networks,1625.0,2025-05-30
C003478,V02280,Functionalities,180.55,2025-01-10
C000997,V00133,Niches,4980.2,2024-04-08
C004322,V03095,Systems,1212.57,2024-01-27
C001720,V00821,E-markets,2502.97,2024-01-16
C004321,V01872,Niches,4014.09,2024-11-23
C002309,V03676,Bandwidth,2532.82,2025-10-15
C000392,V01087,Niches,2831.05,2025-09-27
C003219,V00565,E-services,143.86,2025-01-18
C001979,V04930,Relationships,4456.22,2024-08-12
C001873,V03158,E-services,4928.0,2025-08-25
C002488,V03808,E-services,807.47,2026-03-13
C004087,V00100,Infrastructures,1847.43,2025-08-30
C003539,V03361,E-markets,4693.3,2024-07-05
C001004,V04894,,506.96,2025-06-14
C004490,V02908,E-services,4253.86,2026-04-06
C004130,V04442,E-services,86.93,2024-02-04
C002391,V00569,Solutions,2550.64,2024-01-29
C000351,V02166,E-services,2274.24,2023-06-02
C003321,V01264,Platforms,1814.46,2025-10-26
C001554,V02658,Info-mediaries,3730.38,2025-07-14
C001248,V00143,E-tailers,2904.19,2024-07-01
C000036,V02338,Users,1453.49,2025-12-27
C001911,V00771,Markets,3361.26,2024-04-08
C000998,V00924,Web-readiness,24.07,2026-02-09
C003247,V00378,E-tailers,4175.08,2023-06-27
C004171,V02664,Infrastructures,-1878.67,2024-07-28
C001459,V01376,Users,4640.57,2024-12-17
C002389,V04946,Niches,4853.07,2024-09-06
C002183,V04694,Architectures,1451.21,2023-12-30
C000569,V01160,Functionalities,3749.07,2026-01-01
C000808,V02118,Services,2973.56,2023-12-29
C002711,V04850,Communities,3524.24,2024-09-10
C003505,V03088,,197.28,2024-03-21
C004897,V03788,Roi,2078.46,2024-01-12
C003288,V03613,Relationships,2267.12,2024-08-01
C002124,V02201,Services,4956.03,2025-07-30
C000377,V03212,,693.18,2026-03-09
C001033,V01600,Niches,641.96,2025-08-10
C001824,V01382,Web-readiness,2015.49,2024-03-27
C002269,V00599,Markets,3537.28,2024-04-29
C001031,V04670,Niches,3437.43,2024-01-21
C001449,V01753,Solutions,3728.17,2025-12-03
C002555,V04650,Experiences,4119.77,2025-03-20
C003617,V04769,Niches,2816.65,2025-03-28
C003989,V00509,E-services,1329.49,2025-09-10
C003131,V03942,Niches,2244.25,2025-04-17
C002148,V02316,Paradigms,2492.78,2025-06-13
C003006,V01594,Users,2167.44,2025-11-27
C002854,V02058,Paradigms,2871.09,2023-10-23
C003728,V00672,Infrastructures,2232.25,2026-02-10
C000134,V02418,Channels,4976.98,2024-06-09
C000296,V01133,Niches,2634.56,2024-02-13
C004978,V00059,,1681.59,2024-12-06
C003313,V02854,Paradigms,60.01,2023-08-20
C004682,V03253,Action-items,3674.32,2024-06-09
C004912,V04760,Info-mediaries,4048.34,2023-06-02
C003743,V00491,Roi,2684.81,2025-01-31
C000209,V02115,Methodologies,3832.03,2025-07-06
C001241,V02992,Architectures,2524.1,2023-05-12
C001807,V03997,E-business,2759.03,2023-05-22
C002757,V01294,Web-readiness,4291.07,2024-10-30
C003277,V01816,Bandwidth,2885.14,2025-03-13
C004301,V04890,Roi,4753.55,2023-05-14
C003278,V00079,Solutions,4275.78,2024-02-12
C003383,V03952,E-tailers,569.05,2025-01-25
C000347,V03917,E-services,1823.75,2023-05-04
C000806,V00511,Partnerships,3498.02,2023-05-04
C004052,V01446,E-tailers,1085.5,2024-05-06
C004463,V00694,Roi,1461.49,2023-08-20
C000090,V00770,Infrastructures,1055.55,2025-08-03
C003694,V02036,Methodologies,4914.19,03/18/2024
C002039,V01748,Schemas,3164.53,2026-03-17
C001077,V04380,Action-items,2164.01,2025-07-10
C004557,V01751,Architectures,302.43,06/09/2023
C002287,V02921,Services,-2042.59,2025-11-26
C000421,V00948,Channels,4944.62,2025-01-26
C000460,V02762,Networks,1489.69,2023-05-30
C004780,V03508,E-services,2919.2,2023-12-18
C001771,V04480,Users,1962.0,2025-08-18
C004858,V02535,Bandwidth,2929.84,2025-12-11
C002907,V01417,E-tailers,1062.17,2026-01-08
C000583,V03648,Users,4696.99,2024-01-15
C003461,V02081,Communities,4514.54,2025-11-30
C001821,V03488,Schemas,182.5,2025-12-24
C001204,V03103,E-services,3149.68,2023-06-29
C000190,V03274,Relationships,4021.1,2024-02-13
C004062,V04001,Paradigms,3795.3,2025-09-14
C000333,V02131,Action-items,1786.6,2023-08-15
C000506,V02272,Users,715.1,2025-04-27
C001535,V04088,E-services,4148.09,2023-10-15
C002310,V00607,Bandwidth,1007.35,2024-05-07
C000077,V01651,Action-items,533.35,2023-10-13
C002038,V03977,Partnerships,3446.25,2025-02-27
C001239,V03835,E-services,3540.36,2024-08-22
C000815,V00776,Networks,2880.29,2024-11-28
C000102,V02911,Schemas,1664.17,2024-08-17
C004684,V00964,Infrastructures,1251.05,2024-05-09
C001744,V03397,E-markets,695.85,2024-02-12
C000597,V01267,,3770.79,2026-04-08
C001186,V02562,Partnerships,3191.78,2024-07-07
C000862,V00423,Users,2996.09,2024-12-26
C001242,V01194,Solutions,3855.01,2025-12-07
C001316,V02057,,4875.71,08/24/2023
C001347,V01972,,4747.89,2025-07-06
C001435,V03795,Roi,723.95,08/28/2024
C004553,V00442,Solutions,4213.19,2024-12-07
C000683,V02216,E-commerce,4743.43,2023-12-05
C004156,V02469,Bandwidth,1393.66,2025-05-08
C000249,V02121,E-services,709.64,2024-02-02
C004838,V04386,Channels,444.77,2025-07-29
C000301,V01101,Niches,13.37,2023-10-24
C002109,V03897,Web-readiness,3339.43,2024-11-11
C004919,V03778,Systems,1921.39,2024-07-20
C000670,V01298,Info-mediaries,3506.64,2026-03-18
C001363,V00665,Functionalities,4538.65,2024-12-07
C000568,V04937,Infrastructures,3842.59,2024-12-04
C001519,V02632,Niches,-73.7,2026-01-13
C002428,V02801,Markets,228.36,2025-11-03
C004958,V00382,Paradigms,726.9,2025-08-06
C004167,V01541,Methodologies,219.4,2023-10-21
C000943,V02329,Convergence,4672.97,2024-03-30
C002626,V02312,Web-readiness,4723.29,2025-10-18
C004462,V03163,Systems,4946.42,2024-04-11
C000858,V04332,Niches,2401.05,2024-03-01
C000122,V02609,Roi,2267.33,2024-10-30
C000277,V04588,Architectures,3483.41,2023-11-12
C001955,V01695,Infrastructures,3973.88,2023-12-17
C004165,V00046,Schemas,2194.45,2026-02-10
C004114,V01758,E-markets,3741.09,2026-03-27
C001690,V04110,Web-readiness,3803.6,03/11/2025
C003624,V01862,E-services,-1048.7,2025-04-04
C003625,V00175,Services,2405.25,2025-04-06
C002530,V00935,Users,4677.51,2025-01-27
C003497,V00922,Architectures,3436.06,2026-04-02
C001653,V02077,Schemas,1159.71,2025-06-02
C000959,V01757,Systems,689.7,2026-03-19
C000714,V01613,Niches,1252.35,2024-09-19
C000279,V04680,Infrastructures,293.75,2025-11-20
C003922,V03904,Methodologies,4491.95,2025-12-02
C001794,V02558,Experiences,4384.93,2025-08-31
C003787,V02436,E-tailers,1858.84,2023-07-16
C000424,V04615,Solutions,814.54,2024-05-18
C004325,V03556,Niches,3280.87,2024-03-10
C000542,V01453,Roi,4192.5,2023-12-31
C000167,V01374,E-services,2466.22,2023-10-30
C000679,V04749,Partnerships,2213.73,2024-02-10
C000394,V01314,Architectures,2435.6,2023-10-04
C003465,V02127,Methodologies,1873.88,2024-10-06
C004155,V03135,Users,1595.06,2023-12-10
C002054,V04341,Markets,4351.11,2023-07-03
C001827,V04269,Users,4343.19,2023-06-07
C003357,V03105,E-services,2983.24,2024-01-18
C001517,V03327,Users,1678.22,10/24/2023
C002966,V04784,Solutions,2169.86,2025-07-08
C001399,V01966,Partnerships,3576.1,11/15/2025
C004829,V04028,Networks,4406.82,2024-05-31
C001790,V01889,Convergence,3981.52,2025-11-27
C001445,V01721,Models,1985.21,2025-09-21
C000967,V02685,Services,3029.02,2024-01-13
C003961,V02821,Niches,1536.74,2024-11-06
C000388,V04225,Infrastructures,511.74,2023-08-06
C001872,V04310,Niches,3467.32,2025-01-17
C003736,V04514,Paradigms,-3316.43,2024-06-24
C002028,V02929,Metrics,3752.36,2025-11-14
C001452,V02745,Convergence,3597.77,2026-02-21
C003160,V02200,E-services,2487.49,2025-05-04
C003020,V00268,Paradigms,3017.66,2023-05-24
C003664,V03312,Infrastructures,4361.66,2025-06-07
C003204,V04756,Solutions,4831.33,2026-01-27
C004923,V02591,Users,2762.27,2023-05-13
C001198,V02279,Action-items,-2708.78,2023-08-11
C003386,V02072,Users,1042.63,08/18/2023
C002808,V03893,E-services,330.83,2026-03-10
C001287,V04391,Info-mediaries,660.85,2025-01-22
C001436,V00282,Architectures,2220.88,2024-05-26
C004841,V00989,Relationships,3068.98,2023-12-27
C003396,V02048,E-markets,3585.88,2025-10-17
C002871,V01875,Solutions,949.74,2023-06-27
C003312,V01817,E-markets,4661.7,2024-10-16
C004432,V04981,Metrics,3993.08,2025-05-27
C001109,V01194,Platforms,4136.78,2024-06-07
C003354,V00699,E-markets,1079.14,2023-07-10
C000928,V03480,Bandwidth,4247.55,2025-05-28
C002476,V01277,Action-items,1384.54,2025-09-23
C001689,V02411,Convergence,4052.86,2023-06-06
C002902,V04845,Models,1854.38,2023-06-30
C004943,V04501,E-markets,187.04,2025-12-31
C002107,V01589,Services,3024.31,2023-08-26
C003415,V02936,Solutions,292.87,2023-07-03
C004447,V02700,Partnerships,4721.49,2025-07-22
C004835,V01009,Models,440.79,2023-07-17
C000282,V02787,E-services,4759.68,2026-02-27
C001612,V02399,E-services,2741.62,2026-01-14
C004724,V04728,Solutions,1855.64,2025-11-22
C003904,V02247,Metrics,3418.21,2024-10-02
C002870,V03048,Methodologies,1599.82,2023-10-13
C003806,V03428,Paradigms,855.67,2023-12-25
C001849,V02096,Users,3003.55,2024-11-15
C001708,V00344,E-business,428.97,2025-07-28
C002737,V01692,Solutions,753.4,2025-04-23
C001634,V04690,E-tailers,2941.3,09/08/2023
C000854,V04443,Functionalities,2778.76,2024-07-03
C003129,V00678,Paradigms,4762.1,2023-11-15
C002889,V03836,E-services,394.05,2023-09-09
C001010,V00465,Paradigms,807.39,2024-09-23
C000393,V02110,Functionalities,3694.01,2024-07-06
C001094,V01555,Platforms,2479.14,2025-12-05
C003809,V02009,,4806.38,2025-01-22
C000295,V03674,Infrastructures,2658.54,2024-10-20
C002014,V04010,Architectures,2635.67,2024-08-21
C002395,V01657,E-services,4693.45,2024-06-02
C004623,V01201,Functionalities,1011.19,2024-12-19
C002691,V00064,Metrics,4594.91,2023-06-04
C000248,V04564,Platforms,2351.02,2026-03-14
C004820,V01300,Web-readiness,4471.38,2026-01-27
C003536,V04090,Channels,824.99,2023-11-05
C004541,V04802,Platforms,-21.88,2025-02-22
C004083,V03229,Platforms,2953.68,2024-11-10
C003169,V03174,Metrics,3492.88,2023-10-15
C003410,V03634,,4319.51,2024-02-09
C004580,V03817,E-markets,2963.68,2023-08-18
C003256,V03932,Schemas,4145.11,2024-01-27
C003002,V01064,Methodologies,124.03,2026-03-12
C002019,V03568,Methodologies,1774.67,2025-11-18
C000166,V04423,Users,1890.15,2024-01-30
C000865,V04639,E-markets,3618.86,2023-10-03
C004961,V01275,Platforms,-2492.27,2025-03-02
C002620,V00342,Infrastructures,-2561.15,2025-04-30
C001404,V03654,Niches,1483.07,2024-08-03
C001270,V01339,Channels,4855.07,2023-11-05
C002450,V01658,Platforms,4216.45,2025-07-31
C002478,V04584,Systems,2401.58,2023-11-15
C004788,V00207,Architectures,4223.82,2024-07-15
C002258,V01331,E-tailers,724.85,2025-03-07
C003119,V03301,Roi,3677.53,2024-12-28
C000048,V04116,E-services,1245.11,2023-05-30
C000517,V04703,Systems,4575.0,2025-11-27
