vendor_id,vendor_name,region,risk_rating,ingestion_timestamp
V00106,Nolan and Sons,LATAM,Low,2026-08-12 21:45:32.070184
V00107,"Wright, Garcia and Deleon",EMEA,Medium,2026-08-12 21:45:32.070184
V00108,Dickson-Brady,APAC,High,2026-08-12 21:45:32.070184
V00109,Hancock and Sons,APAC,High,2026-08-12 21:45:32.070184
V00110,Johnson-Doyle,LATAM,High,2026-08-12 21:45:32.070184
V00111,Patton-Jenkins,LATAM,High,2026-08-12 21:45:32.070184
V00112,"Shields, Cochran and Adams",EMEA,High,2026-08-12 21:45:32.070184
V00113,"Rodriguez, Brennan and Garrison",AMER,Medium,2026-08-12 21:45:32.070184
V00114,Gonzalez Group,APAC,Medium,2026-08-12 21:45:32.070184
V00115,Torres-Pope,LATAM,High,2026-08-12 21:45:32.070184
V00116,Walker Ltd,APAC,Low,2026-08-12 21:45:32.070184
V00117,Ross LLC,APAC,Low,2026-08-12 21:45:32.070184
V00118,Rasmussen LLC,AMER,Low,2026-08-12 21:45:32.070184
V00119,May-Ross,AMER,Medium,2026-08-12 21:45:32.070184
V00120,"Rivera, Johnson and Wiley",EMEA,High,2026-08-12 21:45:32.070184
V00121,white-estes,EMEA,Low,2026-08-12 21:45:32.070184
V00122,Johnson-Carlson,AMER,Medium,2026-08-12 21:45:32.070184
V00123,Chandler-Edwards,LATAM,Low,2026-08-12 21:45:32.070184
V00124,"Joyce, Wilson and Lam",AMER,Medium,2026-08-12 21:45:32.070184
V00125,Scott Ltd,APAC,Medium,2026-08-12 21:45:32.070184
V00126,Smith-Frost,LATAM,High,2026-08-12 21:45:32.070184
V00127,"Mcdaniel, Bentley and Mclaughlin",LATAM,Medium,2026-08-12 21:45:32.070184
V00128,Diaz Inc,APAC,High,2026-08-12 21:45:32.070184
V00129,"Mccall, Hanson and Alvarado",LATAM,Low,2026-08-12 21:45:32.070184
V00130,Cortez LLC,APAC,Medium,2026-08-12 21:45:32.070184
V00131,"Parker, Ortiz and Powell",EMEA,Low,2026-08-12 21:45:32.070184
V00132,Spencer-Lee,EMEA,Low,2026-08-12 21:45:32.070184
V00133,"Bentley, Byrd and Orr",LATAM,Medium,2026-08-12 21:45:32.070184
V00134,"carroll, sullivan and bass",LATAM,High,2026-08-12 21:45:32.070184
V00135,Mitchell-Jordan,LATAM,,2026-08-12 21:45:32.070184
V00136,"Lawson, Morris and Ramos",LATAM,Medium,2026-08-12 21:45:32.070184
V00137,"Lewis, Kennedy and Santana",EMEA,Medium,2026-08-12 21:45:32.070184
V00138,"Jackson, Miller and Robertson",AMER,Medium,2026-08-12 21:45:32.070184
V00139,"Harvey, Davis and Crane",LATAM,High,2026-08-12 21:45:32.070184
V00140,Chambers and Sons,EMEA,High,2026-08-12 21:45:32.070184
V00141,Hernandez Inc,AMER,Low,2026-08-12 21:45:32.070184
V00142,Riggs PLC,LATAM,Low,2026-08-12 21:45:32.070184
V00143,Gibson Ltd,EMEA,Medium,2026-08-12 21:45:32.070184
V00144,"Lee, Horton and Snyder",LATAM,Medium,2026-08-12 21:45:32.070184
V00145,Hernandez Ltd,APAC,Low,2026-08-12 21:45:32.070184
V00146,Stafford Inc,AMER,Medium,2026-08-12 21:45:32.070184
V00147,Robinson-Brock,AMER,Low,2026-08-12 21:45:32.070184
V00148,"Holmes, Williams and Wright",AMER,High,2026-08-12 21:45:32.070184
V00149,Bryant Group,AMER,High,2026-08-12 21:45:32.070184
V00150,"Schmidt, Hansen and Stewart",APAC,Medium,2026-08-12 21:45:32.070184
V00151,Salazar-Ball,AMER,Low,2026-08-12 21:45:32.070184
V00152,"Simmons, Meadows and Griffin",AMER,Medium,2026-08-12 21:45:32.070184
V00153,Manning Group,LATAM,Medium,2026-08-12 21:45:32.070184
V00154,Green-Wright,EMEA,Low,2026-08-12 21:45:32.070184
V00155,"Ramirez, Strickland and Washington",AMER,High,2026-08-12 21:45:32.070184
V00156,Hill Inc,LATAM,High,2026-08-12 21:45:32.070184
V00157,"Mitchell, Nelson and Flores",APAC,Low,2026-08-12 21:45:32.070184
V00158,"Miller, Hernandez and Reyes",AMER,Medium,2026-08-12 21:45:32.070184
V00159,Mccarthy Inc,LATAM,High,2026-08-12 21:45:32.070184
V00160,Russell-Daniels,APAC,High,2026-08-12 21:45:32.070184
V00161,Brown-Wall,LATAM,Medium,2026-08-12 21:45:32.070184
V00162,Stein-Silva,APAC,Medium,2026-08-12 21:45:32.070184
V00163,"Smith, Gilmore and Johnston",AMER,Medium,2026-08-12 21:45:32.070184
V00164,Smith-Bell,LATAM,High,2026-08-12 21:45:32.070184
V00165,Castaneda-Ashley,AMER,Medium,2026-08-12 21:45:32.070184
V00166,Medina-Navarro,EMEA,Medium,2026-08-12 21:45:32.070184
V00167,"Hurst, Freeman and Nelson",APAC,,2026-08-12 21:45:32.070184
V00168,Johnson-Rogers,AMER,Low,2026-08-12 21:45:32.070184
V00169,"Yates, Ramsey and Pittman",EMEA,High,2026-08-12 21:45:32.070184
V00170,Hooper PLC,LATAM,Low,2026-08-12 21:45:32.070184
V00171,Meadows PLC,EMEA,Medium,2026-08-12 21:45:32.070184
V00172,"Alvarado, Miller and Patterson",APAC,Medium,2026-08-12 21:45:32.070184
V00173,White-Green,APAC,High,2026-08-12 21:45:32.070184
V00174,Lewis-Murphy,EMEA,Low,2026-08-12 21:45:32.070184
V00175,Ramirez-Bean,EMEA,Low,2026-08-12 21:45:32.070184
V00176,King-Miller,APAC,Low,2026-08-12 21:45:32.070184
V00177,Curry Inc,APAC,Low,2026-08-12 21:45:32.070184
V00178,Walker-Jones,EMEA,,2026-08-12 21:45:32.070184
V00179,"Williams, Johnson and Wright",APAC,High,2026-08-12 21:45:32.070184
V00180,Howell and Sons,LATAM,Low,2026-08-12 21:45:32.070184
V00181,Wells Inc,LATAM,Medium,2026-08-12 21:45:32.070184
V00182,"Gould, Marshall and Scott",AMER,Medium,2026-08-12 21:45:32.070184
V00183,Jackson-Lawson,AMER,Medium,2026-08-12 21:45:32.070184
V00184,"Higgins, Strickland and Martin",AMER,Low,2026-08-12 21:45:32.070184
V00185,Rodriguez-Johnson,APAC,Low,2026-08-12 21:45:32.070184
V00186,Johnston-Odonnell,LATAM,High,2026-08-12 21:45:32.070184
V00187,Sanders-Espinoza,LATAM,Medium,2026-08-12 21:45:32.070184
V00188,Vargas Ltd,LATAM,Medium,2026-08-12 21:45:32.070184
V00189,Garcia LLC,AMER,Low,2026-08-12 21:45:32.070184
V00190,"Burke, Martinez and Riggs",AMER,Low,2026-08-12 21:45:32.070184
V00191,Reed Group,EMEA,Low,2026-08-12 21:45:32.070184
V00192,"Wood, Hunter and Peterson",LATAM,,2026-08-12 21:45:32.070184
V00193,Short-Garcia,APAC,High,2026-08-12 21:45:32.070184
V00194,Reid-Poole,EMEA,Medium,2026-08-12 21:45:32.070184
V00195,"Hernandez, Thompson and Boyd",EMEA,Medium,2026-08-12 21:45:32.070184
V00196,"Nelson, Morton and Medina",EMEA,Medium,2026-08-12 21:45:32.070184
V00197,Marshall-Petersen,EMEA,Medium,2026-08-12 21:45:32.070184
V00198,"Adams, Christian and Rivas",APAC,Medium,2026-08-12 21:45:32.070184
V00199,Ramirez Group,LATAM,Medium,2026-08-12 21:45:32.070184
V00200,Christensen PLC,AMER,,2026-08-12 21:45:32.070184
V00201,"Barnett, Rogers and Snyder",APAC,High,2026-08-12 21:45:32.070184
V00202,White-Lewis,AMER,High,2026-08-12 21:45:32.070184
V00203,Peterson-Beard,EMEA,Medium,2026-08-12 21:45:32.070184
V00204,"Beard, Peters and Black",APAC,Low,2026-08-12 21:45:32.070184
V00205,Miller Ltd,LATAM,Low,2026-08-12 21:45:32.070184
V00206,Freeman-Chang,APAC,High,2026-08-12 21:45:32.070184
V00207,"Alvarez, Joseph and West",LATAM,High,2026-08-12 21:45:32.070184
V00208,Davis and Sons,LATAM,,2026-08-12 21:45:32.070184
V00209,Holt-Torres,APAC,Medium,2026-08-12 21:45:32.070184
V00210,"Wood, Tran and Cooper",AMER,High,2026-08-12 21:45:32.070184
V00211,"Pierce, Bell and Chavez",AMER,Low,2026-08-12 21:45:32.070184
V00212,King-Martinez,LATAM,High,2026-08-12 21:45:32.070184
V00213,Stewart Ltd,APAC,High,2026-08-12 21:45:32.070184
V00214,"Tapia, Vaughn and Lee",LATAM,,2026-08-12 21:45:32.070184
V00215,"Washington, Hardy and Bray",EMEA,High,2026-08-12 21:45:32.070184
V00216,"Carlson, Hooper and Wall",LATAM,Low,2026-08-12 21:45:32.070184
V00217,Perez-White,AMER,Medium,2026-08-12 21:45:32.070184
V00218,Erickson and Sons,EMEA,Medium,2026-08-12 21:45:32.070184
V00219,Williams-Brown,APAC,Medium,2026-08-12 21:45:32.070184
V00220,Terry-Martinez,EMEA,Medium,2026-08-12 21:45:32.070184
V00221,Garcia-Smith,EMEA,Low,2026-08-12 21:45:32.070184
V00222,Harrison-Alexander,LATAM,Medium,2026-08-12 21:45:32.070184
V00223,Sheppard LLC,AMER,Medium,2026-08-12 21:45:32.070184
V00224,Wilson-Jones,LATAM,Low,2026-08-12 21:45:32.070184
V00225,Jones-Soto,APAC,High,2026-08-12 21:45:32.070184
V00226,Hernandez PLC,APAC,Low,2026-08-12 21:45:32.070184
V00227,Miller-Wright,LATAM,Low,2026-08-12 21:45:32.070184
V00228,"Duran, Obrien and Gibbs",APAC,High,2026-08-12 21:45:32.070184
V00229,Rowe Group,LATAM,Medium,2026-08-12 21:45:32.070184
V00230,Kerr-Evans,EMEA,Medium,2026-08-12 21:45:32.070184
V00231,"Branch, Torres and Oliver",APAC,Low,2026-08-12 21:45:32.070184
V00232,"Choi, Garcia and Farmer",LATAM,Low,2026-08-12 21:45:32.070184
V00233,"Clark, Guerrero and Moore",EMEA,Low,2026-08-12 21:45:32.070184
V00234,Arnold and Sons,APAC,High,2026-08-12 21:45:32.070184
V00235,Ortiz Ltd,APAC,High,2026-08-12 21:45:32.070184
V00236,"Harrison, Johnson and Roberts",APAC,High,2026-08-12 21:45:32.070184
V00237,Warner-Gibson,AMER,High,2026-08-12 21:45:32.070184
V00238,"Hall, Baker and Moody",APAC,Low,2026-08-12 21:45:32.070184
V00239,"Guerrero, Peck and Coleman",AMER,High,2026-08-12 21:45:32.070184
V00240,"Walker, Hernandez and Baker",EMEA,High,2026-08-12 21:45:32.070184
V00241,Jones and Sons,APAC,Low,2026-08-12 21:45:32.070184
V00242,Larson-Holloway,EMEA,Low,2026-08-12 21:45:32.070184
V00243,Gonzales-Harrison,EMEA,Low,2026-08-12 21:45:32.070184
V00244,Lyons-Bender,LATAM,High,2026-08-12 21:45:32.070184
V00245,"Fernandez, Kim and George",EMEA,Low,2026-08-12 21:45:32.070184
V00246,Navarro-Munoz,APAC,,2026-08-12 21:45:32.070184
V00247,Davis Ltd,APAC,High,2026-08-12 21:45:32.070184
V00248,"Matthews, Smith and Hubbard",APAC,High,2026-08-12 21:45:32.070184
V00249,Johnston-Hines,APAC,Medium,2026-08-12 21:45:32.070184
V00250,Ruiz Ltd,LATAM,Medium,2026-08-12 21:45:32.070184
V00251,Moon-White,APAC,High,2026-08-12 21:45:32.070184
V00252,"graham, olsen and costa",AMER,High,2026-08-12 21:45:32.070184
V00253,Bailey-Cook,AMER,High,2026-08-12 21:45:32.070184
V00254,"Garcia, Martin and Jenkins",APAC,Low,2026-08-12 21:45:32.070184
V00255,Roberts-Landry,EMEA,High,2026-08-12 21:45:32.070184
V00256,"Johnson, Miller and King",EMEA,High,2026-08-12 21:45:32.070184
V00257,Cordova Group,AMER,Medium,2026-08-12 21:45:32.070184
V00258,"Bryan, Smith and Booth",APAC,High,2026-08-12 21:45:32.070184
V00259,Gutierrez-Lopez,APAC,High,2026-08-12 21:45:32.070184
V00260,Dean-Jimenez,APAC,High,2026-08-12 21:45:32.070184
V00261,Wolf-Harris,EMEA,Medium,2026-08-12 21:45:32.070184
V00262,"Anderson, Roberts and Gilmore",APAC,High,2026-08-12 21:45:32.070184
V00263,Martinez-Dudley,LATAM,Low,2026-08-12 21:45:32.070184
V00264,"Lloyd, Mckinney and Collins",LATAM,High,2026-08-12 21:45:32.070184
V00265,Tran Inc,AMER,Medium,2026-08-12 21:45:32.070184
V00266,Gay Inc,APAC,High,2026-08-12 21:45:32.070184
V00267,Valentine-Holland,APAC,Low,2026-08-12 21:45:32.070184
V00268,Jimenez Ltd,APAC,High,2026-08-12 21:45:32.070184
V00269,Hicks-Hill,LATAM,High,2026-08-12 21:45:32.070184
V00270,Baird-Sanchez,EMEA,Low,2026-08-12 21:45:32.070184
V00271,"Thomas, Lee and Greene",LATAM,Low,2026-08-12 21:45:32.070184
V00272,"Suarez, Shields and Hill",EMEA,Medium,2026-08-12 21:45:32.070184
V00273,Morgan-French,LATAM,High,2026-08-12 21:45:32.070184
V00274,Hoover-Campbell,LATAM,High,2026-08-12 21:45:32.070184
V00275,Monroe-Carpenter,LATAM,,2026-08-12 21:45:32.070184
V00276,"Burns, Hernandez and Ryan",LATAM,Medium,2026-08-12 21:45:32.070184
V00277,Cook-Hines,AMER,High,2026-08-12 21:45:32.070184
V00278,Gibson-Morris,APAC,Low,2026-08-12 21:45:32.070184
V00279,Pollard and Sons,AMER,Medium,2026-08-12 21:45:32.070184
V00280,"Reyes, Chase and Jenkins",AMER,Low,2026-08-12 21:45:32.070184
V00281,Garner-Thornton,EMEA,High,2026-08-12 21:45:32.070184
V00282,Hughes-Alvarado,EMEA,High,2026-08-12 21:45:32.070184
V00283,"Pollard, Simpson and Johnson",APAC,Low,2026-08-12 21:45:32.070184
V00284,"Sanford, Rivera and Garcia",APAC,Low,2026-08-12 21:45:32.070184
V00285,Garcia-Lozano,EMEA,Low,2026-08-12 21:45:32.070184
V00286,Bowen Group,AMER,Medium,2026-08-12 21:45:32.070184
V00287,"Booker, Jones and Harrington",APAC,Low,2026-08-12 21:45:32.070184
V00288,Morgan-Schwartz,LATAM,High,2026-08-12 21:45:32.070184
V00289,"Miller, Murphy and Craig",LATAM,Medium,2026-08-12 21:45:32.070184
V00290,"James, Stewart and Higgins",EMEA,,2026-08-12 21:45:32.070184
V00291,Brennan-Johnson,APAC,Medium,2026-08-12 21:45:32.070184
V00292,Young Ltd,LATAM,Medium,2026-08-12 21:45:32.070184
V00293,Bright-Francis,LATAM,Low,2026-08-12 21:45:32.070184
V00294,Good-Hodges,EMEA,Low,2026-08-12 21:45:32.070184
V00295,"Brennan, Wallace and Benson",APAC,Medium,2026-08-12 21:45:32.070184
V00296,Williams Inc,LATAM,High,2026-08-12 21:45:32.070184
V00297,Howard-Jordan,AMER,High,2026-08-12 21:45:32.070184
V00298,Schmidt PLC,EMEA,Medium,2026-08-12 21:45:32.070184
V00299,"Sparks, Jackson and Miller",APAC,Medium,2026-08-12 21:45:32.070184
V00300,Harvey-Allen,APAC,Medium,2026-08-12 21:45:32.070184
V00301,"Thomas, Murray and King",EMEA,High,2026-08-12 21:45:32.070184
V00302,Estrada-Nolan,AMER,Low,2026-08-12 21:45:32.070184
V00303,Santana-Byrd,APAC,Low,2026-08-12 21:45:32.070184
V00304,Jones LLC,APAC,High,2026-08-12 21:45:32.070184
V00305,"Evans, Hayden and Vaughn",LATAM,High,2026-08-12 21:45:32.070184
V00306,Bruce-Gonzalez,APAC,Medium,2026-08-12 21:45:32.070184
V00307,Castaneda-Rodriguez,EMEA,High,2026-08-12 21:45:32.070184
V00308,Armstrong-Andrews,APAC,High,2026-08-12 21:45:32.070184
V00309,"Phillips, Spence and Barrett",EMEA,Medium,2026-08-12 21:45:32.070184
V00310,Smith-Grimes,AMER,High,2026-08-12 21:45:32.070184
V00311,"Beltran, Lozano and Mcgee",APAC,Low,2026-08-12 21:45:32.070184
V00312,Parsons-Hall,APAC,Medium,2026-08-12 21:45:32.070184
V00313,Robinson-Lee,EMEA,High,2026-08-12 21:45:32.070184
V00314,Byrd-Le,AMER,Low,2026-08-12 21:45:32.070184
V00315,"Becker, Taylor and Davis",LATAM,Medium,2026-08-12 21:45:32.070184
V00316,"Lucas, Parker and Alexander",APAC,High,2026-08-12 21:45:32.070184
V00317,"Diaz, Anderson and Browning",EMEA,Low,2026-08-12 21:45:32.070184
V00318,Burgess-Thompson,AMER,Medium,2026-08-12 21:45:32.070184
V00319,Buchanan LLC,LATAM,Medium,2026-08-12 21:45:32.070184
V00320,"Shaw, Nelson and Martin",AMER,Medium,2026-08-12 21:45:32.070184
V00321,Coffey-Phillips,LATAM,High,2026-08-12 21:45:32.070184
V00322,Brock-Mcdonald,LATAM,High,2026-08-12 21:45:32.070184
V00323,Taylor and Sons,EMEA,Low,2026-08-12 21:45:32.070184
V00324,"Ramsey, Whitney and Coffey",AMER,Low,2026-08-12 21:45:32.070184
V00325,"Diaz, Gibbs and Smith",EMEA,Medium,2026-08-12 21:45:32.070184
V00326,"Martinez, Richardson and Curry",APAC,Low,2026-08-12 21:45:32.070184
V00327,Richards-Carson,LATAM,Low,2026-08-12 21:45:32.070184
V00328,Rodriguez-Hall,APAC,High,2026-08-12 21:45:32.070184
V00329,Harvey PLC,LATAM,Medium,2026-08-12 21:45:32.070184
V00330,Herman-Walker,APAC,Low,2026-08-12 21:45:32.070184
V00331,Reid Group,APAC,Low,2026-08-12 21:45:32.070184
V00332,"Turner, Ortiz and Taylor",LATAM,High,2026-08-12 21:45:32.070184
V00333,Torres Group,APAC,High,2026-08-12 21:45:32.070184
V00334,Davis PLC,EMEA,Low,2026-08-12 21:45:32.070184
V00335,Price LLC,EMEA,Medium,2026-08-12 21:45:32.070184
V00336,"Avery, Horton and Fernandez",EMEA,Low,2026-08-12 21:45:32.070184
V00337,"Newton, Moore and Perry",EMEA,High,2026-08-12 21:45:32.070184
V00338,Bass PLC,AMER,Low,2026-08-12 21:45:32.070184
V00339,Crosby-Ramirez,LATAM,High,2026-08-12 21:45:32.070184
V00340,"Wood, Ramos and Sampson",APAC,High,2026-08-12 21:45:32.070184
V00341,Garcia-Jennings,LATAM,Medium,2026-08-12 21:45:32.070184
V00342,"Winters, Newman and Brown",AMER,Medium,2026-08-12 21:45:32.070184
V00343,Lopez-Martinez,LATAM,Low,2026-08-12 21:45:32.070184
V00344,Davis-Lewis,AMER,High,2026-08-12 21:45:32.070184
V00345,"Harper, Smith and Buchanan",LATAM,Medium,2026-08-12 21:45:32.070184
V00346,Zhang PLC,AMER,Medium,2026-08-12 21:45:32.070184
V00347,Jones PLC,EMEA,Medium,2026-08-12 21:45:32.070184
V00348,Willis and Sons,AMER,Medium,2026-08-12 21:45:32.070184
V00349,Schroeder-Kramer,APAC,High,2026-08-12 21:45:32.070184
V00350,"Smith, Garrison and Thomas",AMER,Low,2026-08-12 21:45:32.070184
V00351,Fernandez and Sons,EMEA,Medium,2026-08-12 21:45:32.070184
V00352,Guerrero Inc,LATAM,Medium,2026-08-12 21:45:32.070184
V00353,Smith and Sons,APAC,Low,2026-08-12 21:45:32.070184
V00354,"Morris, Thompson and Williams",LATAM,Medium,2026-08-12 21:45:32.070184
V00355,"Fisher, Wilson and Brown",EMEA,Medium,2026-08-12 21:45:32.070184
V00356,Strickland-Palmer,APAC,Medium,2026-08-12 21:45:32.070184
V00357,Hayes and Sons,LATAM,Low,2026-08-12 21:45:32.070184
V00358,"Williams, Logan and Camacho",APAC,High,2026-08-12 21:45:32.070184
V00359,"Turner, Schneider and Johnson",EMEA,High,2026-08-12 21:45:32.070184
V00360,Boone-Simmons,AMER,High,2026-08-12 21:45:32.070184
V00361,Henry Group,AMER,Medium,2026-08-12 21:45:32.070184
V00362,Lam LLC,APAC,Medium,2026-08-12 21:45:32.070184
V00363,"Hernandez, Martinez and Weber",EMEA,Low,2026-08-12 21:45:32.070184
