vendor_id,vendor_name,total_spend
V01555,Rodriguez-Mills,10662568.26
V02883,"Garcia, Weiss and Young",10611442.1
V03676,Fischer Group,10488965.4
V02338,"Leonard, Ballard and Miller",10462669.57
V03925,Marquez-Nunez,10452225.4
V02918,Cisneros-Meyer,10429920.69
V03788,"Morales, Johnson and Hunt",10426440.27
V02452,"Hogan, Zimmerman and Hoffman",10376093.25
V04175,"Phillips, Castro and Thompson",10338298.620000001
V01733,"Huang, Ford and Olsen",10309152.020000001
V02862,"walker, matthews and archer",10229372.459999999
V03265,Flores Inc,10202122.850000001
V04878,Lucas-Potts,10187261.36
V02491,"Bernard, Flores and Fleming",10169373.65
V02561,Neal-Holden,10067377.0
V00526,Hayes Ltd,10060616.51
V01740,Larson LLC,10033786.1
V00636,Thompson Ltd,10014059.25
V02060,Davenport-Torres,9998851.370000001
V04857,Carrillo-Simon,9954759.459999999
V00288,Morgan-Schwartz,9853244.92
V03739,Ramos Ltd,9816860.08
V00771,Armstrong and Sons,9776483.379999999
V03504,Ramirez-Cruz,9753596.86
V01689,Tate LLC,9716503.18
V00343,Lopez-Martinez,9604878.74
V04955,Rodriguez-Clark,9592261.120000001
V00075,Novak PLC,9546707.0
V03832,"Wood, Simmons and Leonard",9525860.02
V01224,"Brandt, Carter and Boyd",9512081.370000001
V00079,Jones Inc,9482515.61
V00805,"Hernandez, Cuevas and Webb",9481414.079999998
V04357,Beck and Sons,9473766.879999999
V04167,Stewart LLC,9459905.52
V04509,Johnson-Morrison,9449367.83
V04418,Smith-Garner,9402570.459999999
V01465,Cooper-Jenkins,9382317.33
V03421,"Foley, Gordon and Bailey",9372597.23
V01236,"Ochoa, Garcia and Sandoval",9311988.31
V04055,Taylor and Sons,9295526.94
V02783,Frederick-Kennedy,9285936.68
V03915,Pope and Sons,9272640.64
V04437,Perez-Tucker,9255659.850000001
V00116,Walker Ltd,9246324.16
V02075,Duran PLC,9199488.959999999
V04733,Bradford and Sons,9198404.95
V00779,Alexander-Jordan,9157879.14
V01448,"Hensley, Lopez and Baker",9157462.86
V01748,Peterson Group,9135935.459999999
V02312,Alvarez-Hart,9097713.340000002
V01087,Morgan LLC,9081302.100000001
V02183,"Hayden, Harmon and Mcdonald",9066300.48
V04152,"Mckee, Fisher and Long",9037101.4
V04679,"Henderson, Williams and Keller",8998939.6
V03483,Bell-Cooper,8937914.620000001
V03259,"King, Ortiz and Munoz",8936914.96
V03541,Johnson PLC,8916356.059999999
V03302,"Webb, Davis and Miranda",8876939.93
V03977,Phelps PLC,8873445.63
V00850,Gonzales Inc,8841330.44
V01889,Baldwin-Garcia,8822065.719999999
V00923,Parker Ltd,8807163.61
V02387,Mitchell-Jackson,8779596.8
V02907,"Grimes, Arnold and Lawson",8700049.05
V04731,"Li, Mason and Jacobson",8685145.08
V02123,Wilson Group,8651659.399999999
V00522,Holmes-Mcintyre,8649722.08
V04224,Davis-Green,8625615.610000001
V04161,Bowers-Nguyen,8621661.1
V02573,Gonzalez and Sons,8580577.3
V04003,Sanchez-Armstrong,8560814.68
V04981,"Weeks, Burton and Madden",8512724.6
V01822,Joseph LLC,8488370.4
V00344,Davis-Lewis,8462380.68
V01888,Mendez Inc,8454825.36
V04827,"Torres, Valdez and Briggs",8446158.739999998
V00572,"Smith, Rodriguez and Anderson",8432848.18
V04511,Williams Inc,8411834.81
V04726,"Marquez, Jones and Garcia",8405377.41
V03342,"Mooney, Conley and Fox",8389971.74
V00599,Hoffman Ltd,8348988.59
V00463,"Taylor, Wright and Davidson",8327286.15
V02597,"Morse, Silva and Johnson",8288623.77
V04275,Howell LLC,8271561.549999999
V00748,Goodwin Ltd,8253545.99
V03599,"Simmons, Wallace and Martinez",8250853.7
V01238,"Moon, Farmer and Hill",8243700.12
V00732,"Hernandez, Lee and Fox",8232492.600000001
V00173,White-Green,8214300.27
V04552,Thompson-Morales,8213240.539999999
V00710,Edwards-Williams,8197990.0600000005
V00350,"Smith, Garrison and Thomas",8163028.9399999995
V04322,richardson inc,8162241.75
V02294,Brooks-Hickman,8159548.64
V01333,Hammond-Lewis,8094243.890000001
V03646,Fischer PLC,8093018.600000001
V04517,Robinson and Sons,8082018.75
V01466,Dillon-Mccarty,8062041.36
V02835,"Michael, Walker and Fitzgerald",8011600.48
V01604,Baker-Ross,7999858.52
V02350,Petty-Allison,7999006.91
V00100,Walsh LLC,7983028.98
V02008,Hill Ltd,7974030.200000001
V04058,Carlson and Sons,7920941.18
V04588,Barker-Oliver,7915477.489999999
V04647,"Roman, Stark and Turner",7913286.53
V04801,Briggs-Moore,7882644.0200000005
V01078,Hernandez PLC,7858332.7299999995
V04823,Moore-Parsons,7777639.100000001
V03248,"Case, Adams and Olson",7766101.659999999
V03573,"Sellers, Strong and Gomez",7750720.890000001
V01194,pruitt-webb,7738277.839999999
V04943,"Price, Bryan and Carter",7735520.220000001
V00997,Durham-Shaw,7729455.08
V00516,Osborne LLC,7698044.040000001
V02285,Martinez Inc,7694205.17
V03596,"Fischer, Johnson and Orr",7649216.300000001
V01774,Callahan PLC,7630825.17
V00977,Anderson Group,7605907.34
V01719,"Gomez, Anderson and Hart",7586695.249999999
V04556,"King, Taylor and Middleton",7579739.12
V03922,Walker LLC,7552996.800000001
V03836,Howard Inc,7552937.609999999
V02334,Smith Ltd,7518676.42
V01073,Bartlett-Sloan,7461615.73
V02274,"Ward, Jordan and Orr",7461100.52
V02585,Lee Group,7413879.42
V01258,"Price, Dixon and Robles",7411999.200000001
V03943,"Johnson, Sims and Crane",7401333.72
V02195,Lucas-Johnson,7398411.34
V01821,Lane Ltd,7369068.75
V04294,Perez Group,7331056.11
V03397,"Harris, Thomas and Yang",7305117.4
V03481,Miles-Dunn,7292520.5
V04640,Mendez-Tyler,7287379.38
V02301,Solis LLC,7276110.94
V02164,Chapman-Odom,7267499.599999999
V04232,Nichols LLC,7256022.76
V00966,Owens-Russell,7244828.2
V02408,"Campbell, Davis and Arnold",7176368.88
V01296,Andrews and Sons,7173802.82
V02135,Garcia Inc,7172159.18
V03427,Bennett-Ruiz,7163014.84
V01861,Blanchard-Reynolds,7153211.17
V00195,"Hernandez, Thompson and Boyd",7146209.0
V01327,Hampton-Tucker,7143433.120000001
V03568,Jackson Group,7115999.1
V02246,Williams PLC,7106993.970000001
V00609,Huang-Foster,7104783.549999999
V02652,Brown-Ross,7094275.05
V00615,Gilbert PLC,7085997.6
V02847,"Gonzalez, Curtis and Cox",7081470.48
V00384,"Gallegos, Adams and White",7081247.42
V01975,Quinn-Gordon,7077857.119999999
V04270,Mccullough Inc,7031323.08
V03838,Martinez and Sons,7030467.470000001
V03699,"hansen, perez and fuller",7015721.739999999
V00488,Williams-Hughes,7002085.680000001
V00310,Smith-Grimes,6967792.9
V03973,Flores-Moreno,6962006.61
V02256,Johnson LLC,6936677.88
V00873,Kramer-Shannon,6935706.17
V04540,Gutierrez-Dudley,6927669.5
V04391,Maxwell Inc,6901277.459999999
V03692,"Cortez, Phelps and Taylor",6895501.1
V01998,"Pitts, Warner and Mullins",6855739.01
V03312,Hester-Parrish,6849074.32
V02397,Orr Inc,6843067.4
V01764,Austin-Morgan,6837923.510000001
V02588,"Lopez, Nichols and Clarke",6833577.64
V01966,Clarke Ltd,6813768.7
V03360,Knight-Sparks,6810847.449999999
V03158,Peterson-Munoz,6800350.76
V01199,Brown Ltd,6774226.29
V01846,Green Ltd,6754237.319999999
V03366,Petersen-Martinez,6749964.130000001
V03163,Brown-Stokes,6732938.02
V03513,"Hamilton, Patterson and Daniel",6722336.9
V02047,Hughes-Smith,6702566.3100000005
V04729,Sanchez Inc,6700462.380000001
V02116,Wilson-Campbell,6698681.15
V03487,"Wright, Brown and Brown",6697634.159999999
V00569,Levy-Lewis,6691421.32
V03628,Larsen-Shields,6672914.780000001
V03471,Clay Group,6660996.7
V01167,Wallace-Martinez,6651616.62
V03026,"Rodriguez, Reese and Reyes",6622413.44
V02200,Edwards LLC,6619468.449999999
V01577,Kirk-Gutierrez,6611632.16
V03743,Hurst-Jackson,6608389.260000001
V01385,Lopez-Fletcher,6605421.06
V01400,Frost-Graham,6600367.9399999995
V04993,Perez-Bernard,6599648.609999999
V03416,Bryant-Elliott,6597932.52
V01322,"Hernandez, Knight and Aguirre",6592752.32
V03134,Rubio PLC,6568534.71
V03968,"Ruiz, Martin and Jones",6540620.220000001
V03930,"Smith, Diaz and Romero",6517065.199999999
V03053,Gomez LLC,6506583.619999999
V04757,Brooks-Bell,6505679.97
V04225,Perez Ltd,6502578.049999999
V02844,Ellis-Martin,6494339.53
V03231,"Camacho, Rodriguez and Ho",6493859.79
V00378,Bell-Lane,6488235.6
V02463,Scott-Wilson,6463183.879999999
V01745,Brooks Inc,6452247.430000001
V00834,Burns and Sons,6450765.890000001
V03987,Cardenas and Sons,6449497.85
V01617,Todd Inc,6447255.569999999
V00457,Bishop-Goodwin,6436688.100000001
V00089,Suarez LLC,6427909.74
V03697,Rivera-Brown,6421307.16
V01006,Thompson PLC,6410916.42
V01331,"Jones, Smith and Hunter",6386202.9
V01108,Byrd LLC,6382211.4
V02115,"Roberts, Bowen and Miller",6372447.3
V03748,Ramos LLC,6362313.640000001
V02678,Jackson-Powers,6353818.92
V04151,ward ltd,6350241.8
V00390,Moore-Collins,6304266.609999999
V04501,"Johnson, Perez and Henry",6289201.57
V03966,Garrett-Rodriguez,6278531.369999999
V03444,Perez-Harmon,6270885.890000001
V03368,"Flowers, Williams and Taylor",6266884.42
V01085,Vaughn-Williams,6255192.84
V01844,Kent Ltd,6249520.45
V01344,Brown LLC,6231735.41
V03589,Williams Ltd,6228469.59
V04326,"Gomez, Mcmahon and Fisher",6227485.4
V04204,Johnson Group,6218731.6
V00145,Hernandez Ltd,6218157.19
V03322,"Reilly, Lee and Lopez",6209489.85
V02251,Reeves and Sons,6181069.02
V03344,Torres Ltd,6177365.4799999995
V01064,Armstrong-Young,6173623.109999999
V03104,"Lewis, Montgomery and Robinson",6169694.470000001
V04508,Long-Santos,6164998.9
V01434,Perez and Sons,6164564.33
V02935,palmer inc,6162131.119999999
V02662,Hill Ltd,6154427.76
V00010,Abbott-Munoz,6143834.87
V02295,Hood and Sons,6136061.409999999
V00163,"Smith, Gilmore and Johnston",6130471.890000001
V00943,Cline-Ayala,6129327.62
V01202,"Marks, Stone and Watts",6129250.199999999
V03097,"Dominguez, Mitchell and Moore",6109963.720000001
V01973,"Shah, Mcintyre and Villanueva",6070060.67
V02288,"Macdonald, Willis and Silva",6062188.32
V03603,Dennis-Wilson,6052990.2
V03571,Bass Inc,6046149.9
V01208,Walton LLC,6021405.62
V02007,Mullen-Jones,6015000.4
V01652,Acosta LLC,6010922.97
V02150,Alvarez-Dickerson,6008516.94
V02405,"Sullivan, Gonzalez and Turner",5991795.92
V03435,"Flynn, Garcia and Gilmore",5990850.220000001
V04332,"Mueller, Cox and Ford",5985098.97
V03135,"Gamble, Davis and Smith",5951373.02
V04656,Knight LLC,5945143.65
V04338,White-Ramos,5920499.32
V00866,Gibson-Freeman,5918309.8
V04386,Miller-Cole,5875083.899999999
V01727,"Pierce, Wang and Wilson",5870162.6899999995
V03428,"White, Erickson and Hunter",5869431.7299999995
V02077,"Marsh, Nelson and Wolfe",5863488.540000001
V01738,Morgan Group,5845174.53
V01049,"Larsen, Hernandez and Ward",5825868.720000001
V02159,Watkins-Lozano,5824400.85
V02411,"Henderson, Wagner and Dennis",5820763.25
V03522,"Hill, Adams and King",5813762.64
V03243,"Smith, Boyd and Scott",5811445.4399999995
V04626,Richards-Smith,5800914.0
V04487,Cooper-Jones,5785026.56
V00277,Cook-Hines,5757919.550000001
V00527,osborn-cochran,5743620.72
V03301,Bray-Morris,5691451.5
V00020,"Reid, Ferguson and Sanchez",5687228.05
V01001,"Howard, Silva and Hall",5670262.08
V02732,Gray-Ruiz,5668033.74
V02299,Nguyen-Dennis,5654605.98
V02371,Rhodes-Thompson,5638149.619999999
V02328,Miller Ltd,5633394.199999999
V00342,"Winters, Newman and Brown",5632394.03
V03233,Kline-Davis,5615108.4
V03041,"michael, anderson and carrillo",5608083.1
V02804,"Davies, Archer and Owens",5599542.96
V02713,Harris-Bennett,5596116.93
V01028,Reed LLC,5584313.85
V01233,Tran Group,5580287.2299999995
V02074,"Mayer, Palmer and Miranda",5575355.4799999995
V04908,"Meyer, Miranda and Watkins",5568273.06
V01586,"Howe, Moore and Johnson",5565872.61
V03174,Sheppard Group,5554491.76
V01091,Adams-Butler,5552143.11
V01741,"Hodge, Mckinney and Nelson",5536861.59
V03986,"Trujillo, Proctor and Wang",5520114.14
V00305,"Evans, Hayden and Vaughn",5515366.06
V02174,"Richard, Davis and Rogers",5504742.880000001
V02532,Allen-Peterson,5504474.699999999
V00222,Harrison-Alexander,5495447.2
V04946,Jensen Inc,5494964.0
V01833,Berry-Rivera,5492624.75
V02755,Green Group,5464081.42
V01523,Huang LLC,5459814.029999999
V03206,"Foster, Ayers and Casey",5443670.52
V02728,Thompson-Wright,5439355.75
V01406,Harris Ltd,5401184.250000001
V01460,King-Garrison,5388634.08
V03111,Allen and Sons,5387275.28
V01430,Shannon LLC,5383240.46
V02821,"Mclaughlin, Collins and Lawrence",5365440.0
V03318,Bell-Wilson,5351193.199999999
V03779,Lopez LLC,5346505.709999999
V02435,Williams-Hernandez,5334238.8
V01878,King Group,5325094.09
V00468,Wilkerson-Arias,5316284.640000001
V02084,"Norris, Cisneros and Mathis",5293952.32
V03657,Glover-Coleman,5293447.5
V01223,Smith LLC,5241716.779999999
V03884,Roberts-Patel,5233831.760000001
V02475,Johnson-Schultz,5231297.36
V02176,Simmons-Reed,5225955.08
V03370,"Moore, Miller and Nelson",5210738.220000001
V02403,"Harris, Stephens and Kramer",5203381.600000001
V03696,Benson PLC,5192160.6
V03648,Moore LLC,5189431.52
V02469,Garcia-Thomas,5183817.33
V00183,Jackson-Lawson,5183418.95
V00236,"Harrison, Johnson and Roberts",5157082.5
V02101,Johnson-Thomas,5153497.529999999
V01264,"Mckinney, Richardson and Chapman",5141566.26
V01081,Humphrey-Baker,5126408.79
V03865,"Faulkner, Welch and Hoffman",5110936.07
V01337,"Vincent, Anderson and Mason",5095779.38
V00521,Johnson and Sons,5091173.779999999
V02790,Johnson Inc,5085591.18
V01232,"Taylor, Porter and Moreno",5081488.859999999
V04182,Key-Ramos,5081440.21
V01294,Miller Inc,5081337.030000001
V01855,Turner-Reese,5078957.609999999
V01962,Harris-Martinez,5078011.9
V04192,Lara-Baker,5068028.119999999
V03164,Irwin-Lewis,5062237.32
V01207,Christian-Booth,5057069.32
V02798,Patterson-Huynh,5051345.930000001
V04474,"Moore, Wallace and Edwards",5038040.03
V01187,"Holland, Murphy and Kline",5035888.34
V03521,Morgan-Foster,5029855.35
V01343,Williams-Juarez,5014468.0
V03863,"Porter, Patel and Jackson",5013011.45
V02682,Ramos Inc,5003512.75
V03608,Mann LLC,4997524.15
V00650,Todd-Pham,4995637.819999999
V01872,Brown PLC,4994100.0
V04455,Li and Sons,4984555.95
V04335,"Chavez, Conway and Sosa",4974972.48
V00046,Spence PLC,4969342.85
V04081,Wright LLC,4958273.6
V00327,Richards-Carson,4935857.51
V03575,Wilson-Merritt,4934326.239999999
V02414,West PLC,4905285.96
V04674,Edwards-Taylor,4904728.819999999
V03172,Gonzalez Group,4900000.68
V03552,"Gordon, Andrews and Kelley",4892017.2
V03586,Elliott PLC,4889676.2
V02759,Stone and Sons,4879435.890000001
V03299,Barnett-Boyd,4874730.93
V02383,"Harrell, Moore and Cox",4833230.67
V00003,"Mcclain, Miller and Henderson",4808822.1
V00061,"Brown, Valdez and Lucas",4803380.15
V03512,"Robinson, Johnson and Swanson",4800545.6
V00638,Morales Inc,4798640.399999999
V04524,Vincent LLC,4788656.07
V02321,Carroll-Arnold,4774779.35
V02313,Davis-Henderson,4756216.92
V02947,Jordan and Sons,4749478.489999999
V02799,Hatfield-Vincent,4740372.4799999995
V03670,"Wright, Thomas and Jensen",4739667.1
V03897,Morris LLC,4729987.11
V02842,"Chase, Long and Anderson",4713082.33
V00885,Lewis Inc,4711410.14
V01947,clark-king,4709502.0
V02119,Lopez-Jones,4705229.08
V04756,Prince Inc,4699231.199999999
V03170,"Orozco, White and Brown",4690080.32
V04110,Ryan-Steele,4685645.5
V02917,Lindsey-Shaw,4681505.21
V03015,Ferguson LLC,4669889.4
V01886,Bishop and Sons,4667764.8
V02880,Hopkins-Wallace,4649149.22
V00369,Perry-Davis,4646972.41
V03071,Saunders LLC,4644130.14
V03330,"Adams, Harris and Floyd",4631860.8
V00464,Spencer-Garcia,4631502.12
V04162,"Ritter, Baker and Leon",4624858.6
V01126,"Erickson, Armstrong and Lee",4624731.15
V02169,Harris-Reid,4621698.0
V02795,Schultz Inc,4617365.34
V00362,Lam LLC,4616997.39
V03498,Skinner PLC,4615154.82
V01266,Cole-Lucero,4615118.720000001
V03609,Hamilton Ltd,4611994.529999999
V04909,Snyder-Ferrell,4611315.949999999
V04671,"Silva, Hill and Bradley",4610925.600000001
V04153,"Williams, Holland and Alexander",4606380.35
V02994,Anderson Ltd,4594855.2
V02919,"Keith, Cervantes and Torres",4591419.25
V01010,Weaver-Thompson,4584746.4
V03495,"Sanchez, Orozco and Flores",4583251.24
V02982,Hicks Ltd,4567911.54
V03078,Rose-Frank,4563579.81
V02993,"Hill, Silva and Miller",4550579.859999999
V01927,Rogers Inc,4543284.3
V01657,"Adams, Bradley and Hall",4540097.78
V03729,Shaw-Smith,4536051.26
V01579,"Gardner, Brooks and Pierce",4527840.390000001
V01374,"Barnes, Hernandez and Davis",4524540.14
V00590,"Patton, Parsons and Lane",4522673.709999999
V04664,White-Holland,4520546.04
V02067,"Castillo, Graham and Scott",4504904.74
V04610,Yang PLC,4495838.870000001
V03637,Gould PLC,4489275.600000001
V00364,"Kelley, Nguyen and Vang",4483084.739999999
V02158,Wright Ltd,4472639.02
V02058,"Bradley, Melendez and Gonzalez",4463939.16
V02951,Ruiz LLC,4462814.04
V02412,Green-Romero,4446561.609999999
V03911,"Soto, Alexander and Cobb",4441686.48
V04844,"Henderson, Edwards and Sexton",4434629.850000001
V04429,Barnes-Johnson,4420909.5600000005
V03994,David-Watkins,4420819.51
V03908,Gonzales Ltd,4403105.9
V04067,moss and sons,4392649.25
V01500,"Smith, Weeks and Arroyo",4392311.0
V01080,"Chan, Floyd and Dillon",4391057.3100000005
V00282,Hughes-Alvarado,4373842.129999999
V00169,"Yates, Ramsey and Pittman",4353590.61
V03905,Jones-Butler,4352533.11
V02517,"Byrd, Mendez and Becker",4335211.65
V03237,"Jones, Mcdaniel and Brooks",4329293.67
V00770,Hardy PLC,4326341.09
V02269,Carpenter LLC,4325495.1
V04858,Gibson Ltd,4320612.180000001
V03305,Bonilla Inc,4314887.9399999995
V01431,Valentine Ltd,4311946.49
V00871,Adams-Clayton,4305031.6
V03178,"Jensen, Morris and Downs",4303662.61
V04696,Hernandez-Beasley,4291384.32
V00073,Henderson-Bernard,4290272.64
V02267,"Harvey, Turner and Foster",4286111.06
V01032,"Jones, Scott and Rodriguez",4281548.8100000005
V02664,"Barrera, Kerr and Jenkins",4273015.050000001
V01009,"Thomas, Vaughan and Copeland",4265281.63
V02244,"Holland, Sims and Meadows",4260745.58
V00713,"Butler, Hernandez and Rivera",4255553.71
V04804,Reilly-Sanders,4251563.619999999
V03806,Freeman-Yang,4242889.92
V00992,Ramirez and Sons,4239888.68
V00740,Miller Group,4231482.3
V03812,Davis-Cruz,4224791.44
V01825,Bush-Wilson,4224732.779999999
V03437,Brown LLC,4224335.279999999
V01708,"Thompson, Gibson and Riley",4218616.74
V02965,Martinez LLC,4209612.16
V00619,Smith PLC,4207749.3100000005
V00762,"Moore, Price and Ward",4202672.32
V04143,"Huff, Bird and Miller",4200230.68
V01871,Lee-Johnson,4194503.31
V01481,"King, Manning and Brady",4192877.0
V04424,"Duarte, Lee and Matthews",4173393.9899999998
V00780,"Mccann, Taylor and Flores",4172318.97
V02938,Decker Inc,4165081.96
V03963,Murphy Group,4164551.1000000006
V02749,Wise-Walton,4160278.66
V02596,Wells-Perkins,4156230.91
V01735,"Stewart, Herrera and Clark",4147052.93
V01300,Avila PLC,4126610.25
V03409,Thomas Ltd,4124589.67
V03021,"Henson, Baker and Anderson",4119392.16
V04220,"Haynes, Jennings and Ballard",4114416.5
V04088,Petty Inc,4105024.92
V02797,Stevenson-Bauer,4098093.42
V02041,"Fox, Harrington and Wang",4087459.02
V02853,"Morgan, Hamilton and Hernandez",4083822.7199999997
V00283,"Pollard, Simpson and Johnson",4077898.84
V03037,Stout-Waller,4077176.6999999997
V00563,Dougherty-Lin,4072325.6999999997
V02593,Romero Ltd,4062786.5199999996
V00765,Miller Group,4045398.5
V01552,"Brown, Coffey and Fuentes",4024662.7100000004
V04441,"Woods, Roberts and Young",4023916.6399999997
V00072,House-Glover,4017574.33
V03894,Arnold-Boyer,4014264.9
V00946,"Mueller, Stevenson and Sanchez",4010026.75
V02091,"Olsen, Walker and Vincent",4004575.5300000003
V00958,"Miller, Davis and Anderson",4004405.64
V04246,Brown-Haas,4000671.4699999997
V01237,"Andrade, Gordon and Cruz",3992292.6700000004
V03289,"Ramsey, Perez and Miller",3967861.98
V00136,"Lawson, Morris and Ramos",3966682.1999999997
V03068,Briggs-Wilson,3965685.24
V00934,Williams Inc,3964556.21
V02347,Richards-Harris,3964422.24
V00050,"Harris, Collins and Carney",3963259.55
V03442,Zhang PLC,3958729.44
V00883,Barber-Fischer,3955743.3000000003
V01627,"Williamson, Brown and Pena",3951695.44
V01980,Holland Inc,3949536.84
V01850,Mullins-Gutierrez,3940190.47
V03108,Martin-Pratt,3938166.96
V04197,Pope PLC,3938101.12
V04305,"Griffith, Johnson and Alexander",3935416.92
V04615,"henderson, brown and baker",3928342.4699999997
V00193,Short-Garcia,3918131.2200000007
V03364,"Martin, Tucker and Brown",3910651.9
V04621,"Lopez, Gutierrez and Castro",3904508.7
V02768,warren-pena,3884668.4
V03356,"Thompson, Lozano and Bailey",3875034.4200000004
V04861,Lawrence-Hanna,3863401.41
V04535,"Young, Kane and Riley",3857472.7800000003
V03304,"Holland, Foley and Neal",3852852.91
V03067,Hernandez-Griffin,3848189.8
V01239,Waller-Chavez,3846298.77
V01370,Jackson-Jennings,3839161.2600000002
V04443,Frye Ltd,3837204.2800000003
V03776,"Valenzuela, Morris and Garcia",3832288.14
V00654,"Leach, Harris and Herrera",3831025.17
V02239,Green Ltd,3822675.0
V04170,Harris-Chase,3816106.96
V02868,"Roth, Logan and Moreno",3815174.8
V04564,"Stephens, Stone and Johnston",3803470.8600000003
V01325,Hill-Ward,3791236.0500000003
V01777,Chavez-Johnson,3781192.17
V00325,"Diaz, Gibbs and Smith",3763850.6699999995
V01525,"Wright, Wise and Ramos",3752343.8200000003
V02464,Weaver LLC,3748344.8499999996
V01115,Byrd-Holloway,3739658.9799999995
V01275,"Robinson, White and Jones",3734692.5
V02542,"Walton, Hall and Greene",3726063.6
V03526,Johnson-Howard,3722024.27
V04108,"Garner, Fox and Chan",3716200.0199999996
V01162,"Wagner, Martinez and Dawson",3714761.57
V01721,"Hall, Roberts and Lee",3711949.37
V00237,Warner-Gibson,3707817.52
V03035,Roth Ltd,3702051.9
V03022,"Phillips, Galloway and Garrett",3696574.35
V01885,Jones-Krause,3693587.26
V03414,Wolfe-Rodriguez,3692125.44
V02575,Morgan PLC,3682146.91
V00178,Walker-Jones,3661151.01
V04713,mendoza-jackson,3660309.92
V03583,"Banks, Gray and Gonzales",3656850.0
V00574,Williams-Williams,3654525.78
V03745,"Powell, Monroe and Caldwell",3653813.34
V01510,Walsh PLC,3650392.0700000003
V04597,Sutton PLC,3644103.1199999996
V02985,Wright-Jacobson,3641428.99
V04119,"Barnett, Clark and Quinn",3640316.6399999997
V04695,Ortiz Group,3638807.9699999997
V00646,"Carrillo, Vaughn and Fowler",3635891.2
V01705,Williams Group,3632997.25
V02840,Todd-Myers,3621894.0
V03649,Hall Ltd,3616922.0100000002
V00655,Murphy PLC,3609060.02
V04087,"Bullock, Cruz and Williams",3605131.9799999995
V02714,"Johnson, Mclean and George",3598540.0
V03009,Hart-Myers,3580283.76
V00161,Brown-Wall,3574039.8
