vendor_id,vendor_name,total_price_variance
V04058,Carlson and Sons,5118371.76
V04695,Ortiz Group,5071639.37
V04251,"Day, Campbell and Taylor",5065582.119999999
V03291,Villa Inc,5018584.68
V00850,Gonzales Inc,4993838.279999999
V01064,Armstrong-Young,4939140.91
V04125,Taylor-Morales,4932897.62
V02299,Nguyen-Dennis,4918639.140000001
V01073,Bartlett-Sloan,4905547.870000001
V03344,Torres Ltd,4829713.55
V01652,Acosta LLC,4821402.2700000005
V04584,"Mendez, Williams and Henry",4817890.519999999
V04055,Taylor and Sons,4816976.34
V03836,Howard Inc,4734674.559999999
V02884,Thomas and Sons,4726246.549999999
V00694,Faulkner-Grant,4717878.299999999
V03233,Kline-Davis,4676073.6
V01740,Larson LLC,4648703.100000001
V01223,Smith LLC,4624759.859999999
V02652,Brown-Ross,4596175.799999999
V00100,Walsh LLC,4591147.5
V00145,Hernandez Ltd,4587982.99
V01617,Todd Inc,4587968.49
V01224,"Brandt, Carter and Boyd",4554716.130000001
V03676,Fischer Group,4540012.2
V01430,Shannon LLC,4507409.959999999
V02985,Wright-Jacobson,4499984.96
V00277,Cook-Hines,4464785.48
V02077,"Marsh, Nelson and Wolfe",4450961.76
V02682,Ramos Inc,4433787.3100000005
V01208,Walton LLC,4427789.16
V04153,"Williams, Holland and Alexander",4404874.85
V01264,"Mckinney, Richardson and Chapman",4400719.06
V01385,Lopez-Fletcher,4389076.659999999
V02285,Martinez Inc,4386375.749999999
V01844,Kent Ltd,4379744.99
V03832,"Wood, Simmons and Leonard",4373012.52
V00309,"Phillips, Spence and Barrett",4362850.2
V03650,Johnson Ltd,4338850.659999999
V00650,Todd-Pham,4298951.06
V03305,Bonilla Inc,4278497.34
V00073,Henderson-Bernard,4258321.68
V02350,Petty-Allison,4204274.95
V01720,"Daniel, Jimenez and Morton",4203696.0600000005
V02371,Rhodes-Thompson,4201107.74
V04677,Dunn LLC,4199952.36
V04878,Lucas-Potts,4168961.359999999
V02080,Watson-Washington,4165548.0099999993
V04067,moss and sons,4153805.0
V02412,Green-Romero,4130464.659999999
V03589,Williams Ltd,4099866.909999999
V02158,Wright Ltd,4092824.7
V03078,Rose-Frank,4082436.8099999996
V03123,Matthews Group,4071198.3200000003
V01434,Perez and Sons,4067172.02
V02918,Cisneros-Meyer,4058525.4899999998
V00465,"Rosales, Mitchell and Hines",4037705.75
V03481,Miles-Dunn,4034631.340000001
V00415,Dixon Inc,3971380.9500000007
V03779,Lopez LLC,3963811.9499999997
V03922,Walker LLC,3957984.64
V04204,Johnson Group,3925945.7499999995
V01927,Rogers Inc,3923002.38
V02862,"walker, matthews and archer",3911553.039999999
V01947,clark-king,3865241.04
V03428,"White, Erickson and Hunter",3853473.2100000004
V02079,Smith PLC,3850073.390000001
V00488,Williams-Hughes,3808194.3000000007
V00978,Parks-Pace,3800375.95
V01886,Bishop and Sons,3783199.04
V03370,"Moore, Miller and Nelson",3776886.9900000007
V00010,Abbott-Munoz,3748434.8299999996
V02174,"Richard, Davis and Rogers",3736231.2400000007
V01603,Duncan-Williams,3720583.4399999985
V00078,Yu Inc,3703549.3
V01745,Brooks Inc,3641668.85
V03568,Jackson Group,3628772.5500000003
V03575,Wilson-Merritt,3619777.1599999997
V02532,Allen-Peterson,3604366.5099999993
V03259,"King, Ortiz and Munoz",3593946.88
V00464,Spencer-Garcia,3578200.08
V01400,Frost-Graham,3577278.1200000006
V04827,"Torres, Valdez and Briggs",3574592.0999999996
V00609,Huang-Foster,3549221.7499999995
V02246,Williams PLC,3534798.29
V01817,English-Dominguez,3528359.4099999997
V04857,Carrillo-Simon,3527628.46
V02759,Stone and Sons,3466569.5700000003
V03992,Gates-Rodriguez,3431248.5
V01822,Joseph LLC,3428631.0
V02847,"Gonzalez, Curtis and Cox",3409692.6000000006
V03987,Cardenas and Sons,3395304.5599999996
V04057,"Moore, Neal and Farmer",3393136.9099999983
V02301,Solis LLC,3360792.75
V03108,Martin-Pratt,3347096.4000000004
V03144,Williams-Trevino,3341116.58
V01126,"Erickson, Armstrong and Lee",3318840.6500000004
V00310,Smith-Grimes,3318679.3000000003
V00638,Morales Inc,3298761.9599999995
V04638,"Barber, Brooks and Cole",3283360.5599999996
V04980,"Velazquez, Foley and Andrews",3280439.0399999996
V03366,Petersen-Martinez,3276782.75
V03495,"Sanchez, Orozco and Flores",3259544.2800000003
V03812,Davis-Cruz,3259154.6899999995
V03696,Benson PLC,3241715.4
V03788,"Morales, Johnson and Hunt",3216262.53
V02328,Miller Ltd,3193971.6199999996
V02469,Garcia-Thomas,3189489.87
V01347,Keith-Williams,3176927.8199999984
V04087,"Bullock, Cruz and Williams",3164266.62
V00072,House-Glover,3153406.5500000003
V04275,Howell LLC,3153033.9400000004
V02313,Davis-Henderson,3135805.96
V00079,Jones Inc,3133038.84
V04441,"Woods, Roberts and Young",3117315.6599999997
V03231,"Camacho, Rodriguez and Ho",3094739.01
V04167,Stewart LLC,3072374.04
V03035,Roth Ltd,3060368.34
V04615,"henderson, brown and baker",3059228.2899999996
V03706,Robles PLC,3054327.8400000003
V01058,Marshall-Perez,3037829.16
V02475,Johnson-Schultz,3034946.16
V01555,Rodriguez-Mills,3026292.5200000005
V03670,"Wright, Thomas and Jensen",3025922.34
V00195,"Hernandez, Thompson and Boyd",3021134.1999999997
V02672,Santiago-Marshall,3003837.4299999997
V02524,Stewart-Myers,3003299.37
V04713,mendoza-jackson,2995892.69
V04197,Pope PLC,2990095.36
V00765,Miller Group,2982801.38
V00707,"Howard, Green and Hunt",2974481.4000000004
V00655,Murphy PLC,2972463.8000000003
V00369,Perry-Davis,2967225.41
V03739,Ramos Ltd,2949875.4799999995
V03422,"Warren, Palmer and Thompson",2948659.51
V04509,Johnson-Morrison,2936702.4300000006
V04953,Chung-Andrews,2932676.96
V04108,"Garner, Fox and Chan",2909845.38
V02844,Ellis-Martin,2909645.6200000006
V03863,"Porter, Patel and Jackson",2892328.6499999994
V03135,"Gamble, Davis and Smith",2872649.2
V03587,"Romero, Reilly and Mitchell",2869720.08
V00740,Miller Group,2857970.0999999996
V01998,"Pitts, Warner and Mullins",2851209.5300000007
V01833,Berry-Rivera,2845260.7399999998
V00883,Barber-Fischer,2828452.8000000003
V02528,Murphy Inc,2825278.2600000002
V01670,"Crosby, Armstrong and Herrera",2824475.13
V00997,Durham-Shaw,2799296.24
V00762,"Moore, Price and Ward",2797774.3200000003
V03983,Elliott-Farmer,2793773.68
V03583,"Banks, Gray and Gonzales",2791537.5
V00834,Burns and Sons,2791221.87
V04719,Chavez-Carter,2785273.5700000003
V03256,"Burgess, Cabrera and Dean",2772530.4
V04626,Richards-Smith,2769757.2
V03646,Fischer PLC,2761005.2200000007
V01078,Hernandez PLC,2741345.6499999994
V00735,branch and sons,2740090.9600000004
V02195,Lucas-Johnson,2737771.3
V03986,"Trujillo, Proctor and Wang",2729220.44
V02978,Smith-Gonzalez,2716834.05
V00687,"Fry, Hobbs and Buck",2709940.8600000003
V00313,Robinson-Lee,2693580.39
V04003,Sanchez-Armstrong,2682474.5
V02768,warren-pena,2680879.52
V02804,"Davies, Archer and Owens",2667891.6
V01232,"Taylor, Porter and Moreno",2644246.1799999992
V03401,"Gonzalez, Jones and Hernandez",2636700.0
V04680,Smith LLC,2623049.94
V02699,"Hanson, Williams and Mcclure",2617041.5100000002
V03638,"Rivera, Jacobs and Smith",2606585.0499999993
V03414,Wolfe-Rodriguez,2602918.62
V02755,Green Group,2599142.7399999998
V02108,Knapp Ltd,2586772.0
V02053,Thomas LLC,2575171.9
V02994,Anderson Ltd,2569624.8
V04036,Hall-Gillespie,2566532.6
V03504,Ramirez-Cruz,2562105.429999999
V02169,Harris-Reid,2555732.16
V02084,"Norris, Cisneros and Mathis",2548803.8800000004
V02200,Edwards LLC,2546463.41
V01894,Graves Group,2536543.2800000003
V03521,Morgan-Foster,2531289.8699999996
V03270,"Shah, Aguirre and Powers",2530948.34
V04144,Marquez Group,2513805.8499999996
V01327,Hampton-Tucker,2506279.1600000006
V03021,"Henson, Baker and Anderson",2490443.2800000003
V03254,"Collins, Bauer and Mckay",2487131.8999999994
V04802,Good-Cook,2483379.7
V00364,"Kelley, Nguyen and Vang",2482874.8499999996
V02294,Brooks-Hickman,2467648.4799999995
V00907,Cruz-Allen,2445464.52
V02251,Reeves and Sons,2432722.8599999994
V04803,Wilson-Young,2431932.3
V03488,White-Williams,2429166.84
V03206,"Foster, Ayers and Casey",2415516.2600000002
V02821,"Mclaughlin, Collins and Lawrence",2414899.2
V02321,Carroll-Arnold,2359207.7299999995
V03067,Hernandez-Griffin,2334248.28
V00381,"Richardson, Farmer and Andrews",2333128.7700000005
V00089,Suarez LLC,2332998.9599999995
V03178,"Jensen, Morris and Downs",2316235.41
V03360,Knight-Sparks,2292746.5500000003
V04927,Woodard Inc,2280826.8
V02452,"Hogan, Zimmerman and Hoffman",2250358.0500000017
V04908,"Meyer, Miranda and Watkins",2248632.5399999996
V01046,Terry-Bowen,2242974.88
V04800,Howe-Brown,2236350.9
V03389,"Rich, Brown and Bruce",2233608.3000000003
V00411,Kim Inc,2231560.92
V03795,Turner Inc,2220388.95
V04423,Evans-Burns,2204878.0200000005
V03877,Barnes PLC,2199724.1900000004
V04804,Reilly-Sanders,2195145.2899999996
V02008,Hill Ltd,2170036.4300000006
V01032,"Jones, Scott and Rodriguez",2167946.55
V03421,"Foley, Gordon and Bailey",2161496.9299999997
V02661,Hale-Williams,2158371.96
V00325,"Diaz, Gibbs and Smith",2155317.0999999996
V01337,"Vincent, Anderson and Mason",2144010.2199999997
V02999,ferguson and sons,2139203.99
V03053,Gomez LLC,2121879.1799999997
V02260,Mccann-Sanders,2119409.52
V02842,"Chase, Long and Anderson",2118787.11
V04139,Copeland-Richmond,2112030.1999999997
V03648,Moore LLC,2105064.5000000005
V00417,"Mullen, Brewer and Hernandez",2095532.9999999998
V03289,"Ramsey, Perez and Miller",2087703.2099999997
V04535,"Young, Kane and Riley",2087693.9399999997
V01360,Mendoza-Garza,2086054.72
V02709,Hall PLC,2085345.7199999997
V04741,"Harding, Gomez and Jacobs",2071413.8899999997
V01471,Welch-Thomas,2058369.8399999999
V00810,Alvarez-Kim,2056952.0799999998
V03022,"Phillips, Galloway and Garrett",2052372.2600000002
V02561,Neal-Holden,2050622.1199999996
V04562,Rowland and Sons,2049881.6799999997
V03552,"Gordon, Andrews and Kelley",2041411.92
V00871,Adams-Clayton,2040924.1600000001
V04656,Knight LLC,2038140.3699999996
V01420,"Wright, Ramos and Bennett",2029501.4999999998
V03248,"Case, Adams and Olson",2027481.14
V00922,Wilson-Salazar,2015034.1
V01331,"Jones, Smith and Hunter",2006638.2000000007
V01038,Phillips LLC,2001984.96
V01556,Williams and Sons,1983577.1999999997
V01115,Byrd-Holloway,1957038.1999999997
V02714,"Johnson, Mclean and George",1950840.0
V01346,"Velez, Ward and Harrison",1944532.48
V03730,Johnson-Hill,1944516.2400000002
V04226,"Miller, Hayes and Davis",1918586.0400000005
V02679,Byrd and Sons,1909262.1
V04519,Cortez-Ellis,1901654.7200000002
V04551,"Fernandez, Flores and Fowler",1901082.0
V02116,Wilson-Campbell,1888289.0000000005
V02639,garcia plc,1879088.6399999997
V02384,Martinez and Sons,1867755.1199999999
V02963,Shaw-Mclean,1865741.2800000003
V03977,Phelps PLC,1864646.4899999998
V00845,Adams PLC,1864274.4000000001
V01098,Wright Group,1858938.5999999999
V04424,"Duarte, Lee and Matthews",1858150.53
V01878,King Group,1856555.6299999997
V04647,"Roman, Stark and Turner",1851249.0900000003
V02381,"Wilson, Harris and Ward",1843999.2
V01406,Harris Ltd,1842759.6300000004
V03911,"Soto, Alexander and Cobb",1836868.8800000004
V00966,Owens-Russell,1835157.2400000005
V02449,Weaver-Rubio,1828908.8399999999
V00193,Short-Garcia,1828376.1800000006
V01613,"Rios, Carrillo and Jackson",1822356.0000000002
V02534,Harding PLC,1819378.77
V00780,"Mccann, Taylor and Flores",1819129.1700000002
V04161,Bowers-Nguyen,1817218.1500000004
V00003,"Mcclain, Miller and Henderson",1815767.7599999998
V00384,"Gallegos, Adams and White",1813143.2800000007
V02744,Waller-Brooks,1810195.9500000002
V04865,Cole LLC,1809260.6999999997
V03553,Ryan-Martinez,1804100.35
V04578,Martinez-Lopez,1796955.93
V04708,Brewer Inc,1795628.3999999997
V01846,Green Ltd,1790893.3199999996
V01176,Warner-Phillips,1782904.16
V00964,Taylor PLC,1775857.6
V02831,Shea-Mccarthy,1775507.8399999999
V04208,Reeves Group,1772046.1300000004
V03833,Daniels and Sons,1764243.0
V04378,Anderson PLC,1760305.41
V03318,Bell-Wilson,1745349.4999999995
V04845,"Parrish, White and Booth",1743548.66
V02464,Weaver LLC,1736927.3899999997
V04119,"Barnett, Clark and Quinn",1735047.36
V01647,"Mcbride, Huffman and Parker",1731237.0300000003
V01100,Hill Group,1724576.64
V01080,"Chan, Floyd and Dillon",1723379.67
V04909,Snyder-Ferrell,1711368.1499999994
V00652,"Marks, Miller and Griffin",1699474.8000000003
V03871,"Manning, Fritz and Brooks",1696835.4000000001
V04289,Mitchell-Hudson,1681789.2
V02058,"Bradley, Melendez and Gonzalez",1673239.6800000002
V02993,"Hill, Silva and Miller",1669065.3900000001
V01131,Hardy-Hansen,1667077.12
V02323,Gutierrez-Marshall,1664762.4000000004
V03024,"Sanford, Thompson and Bonilla",1664447.4
V03935,Thompson-Prince,1664153.84
V02982,Hicks Ltd,1655874.69
V00124,"Joyce, Wilson and Lam",1653929.6400000001
V03164,Irwin-Lewis,1653756.7100000004
V03699,"hansen, perez and fuller",1651444.5400000005
V00236,"Harrison, Johnson and Roberts",1646302.5000000005
V03994,David-Watkins,1637162.5499999998
V03740,Edwards PLC,1634329.3399999999
V02214,Stewart Group,1630421.1599999997
V02164,Chapman-Odom,1627908.4199999997
V00946,"Mueller, Stevenson and Sanchez",1617514.1800000002
V00590,"Patton, Parsons and Lane",1599349.7999999996
V03321,Davis-Wong,1598684.88
V02783,Frederick-Kennedy,1598405.5600000005
V01395,Adkins Group,1595772.6300000004
V00116,Walker Ltd,1593786.88
V04552,Thompson-Morales,1587424.1800000002
V01824,Good PLC,1576104.9000000004
V00861,"Morris, Wright and Bridges",1574602.49
V03498,Skinner PLC,1574260.7399999998
V01776,"Stark, Rivera and Valencia",1573248.27
V00986,Reyes Group,1559392.48
V02373,"Perez, Hoffman and Tucker",1558865.1400000001
V00671,"Long, Anderson and Irwin",1553744.6399999997
V00163,"Smith, Gilmore and Johnston",1550139.9300000002
V00322,Brock-Mcdonald,1549398.93
V03444,Perez-Harmon,1544145.54
V04113,"Hernandez, Dunlap and Lynch",1522669.5000000002
V04958,Gray-Stone,1516966.5999999999
V04863,Sloan-Lynch,1516000.9000000001
V00291,Brennan-Johnson,1510042.58
V01510,Walsh PLC,1508332.0100000002
V04429,Barnes-Johnson,1507615.8000000003
V04669,"riggs, smith and lopez",1501326.7999999998
V03141,Scott-Kennedy,1500765.38
V00752,"Ramsey, Mason and Mccann",1491936.81
V01300,Avila PLC,1491452.6099999999
V02300,"Meadows, Robles and Anderson",1481542.11
V01829,"Davis, Kennedy and Harmon",1474518.3599999999
V00075,Novak PLC,1474062.3199999998
V00057,"Washington, Ryan and Cummings",1468569.6
V04225,Perez Ltd,1467942.3299999996
V04773,"Reid, Thomas and Gill",1459435.3199999998
V02362,"Mcdonald, Ware and Sharp",1458774.12
V01483,Brown Group,1455934.2000000002
V04187,Mathews Group,1451564.5900000003
V04763,Thomas Ltd,1447985.5799999998
V02072,Ward-Fields,1441060.1099999999
V04090,Sanders Inc,1440937.2000000002
V03897,Morris LLC,1432779.37
V00782,Carter-Neal,1425911.5500000003
V02353,"Garza, Carr and Gregory",1424224.5
V04468,Mills PLC,1416796.68
V00519,Hines-Berry,1415110.51
V01009,"Thomas, Vaughan and Copeland",1393155.2
V02151,"Brown, Baker and Garza",1392937.5
V01861,Blanchard-Reynolds,1387240.8900000001
V03930,"Smith, Diaz and Romero",1382966.1499999997
V00574,Williams-Williams,1380285.63
V03620,"Silva, Little and Washington",1378398.5
V01529,Moore-Chandler,1374844.9600000004
V04042,"Olsen, Davis and Thompson",1374582.0
V00661,Foster Inc,1374052.68
V02005,Lopez Group,1373215.92
V00995,Mayo Ltd,1361978.1
V02945,Bailey Ltd,1350829.0500000003
V01657,"Adams, Bradley and Hall",1338727.1400000004
V00824,Rose-Fowler,1332861.75
V02754,"Mann, Johnson and Wade",1328377.2
V00047,Anderson Group,1327488.3899999997
V00551,"Baker, Clark and Armstrong",1318899.78
V03668,Davis and Sons,1318609.6500000004
V04329,"Ross, Cummings and Harris",1317648.1800000006
V03037,Stout-Waller,1317136.4999999995
V04001,Sawyer PLC,1298450.4200000009
V02933,Craig PLC,1297413.1199999999
V02244,"Holland, Sims and Meadows",1290691.6899999997
V04098,"Baker, Casey and Simmons",1290269.22
V03183,Harding-Mathews,1288769.85
V02153,Flores-Johnson,1288109.5499999998
V02191,Mcdaniel-Young,1276235.9999999998
V01006,Thompson PLC,1274360.3799999997
V00136,"Lawson, Morris and Ramos",1269863.4
V03126,Mcclure Inc,1268158.6199999999
V01639,Zamora-Briggs,1264526.52
V03881,Perez-Powell,1255661.31
V01122,Trujillo PLC,1237875.82
V03748,Ramos LLC,1233801.7700000005
V02189,Walters Group,1230551.38
V02463,Scott-Wilson,1226381.67
V02135,Garcia Inc,1210925.5799999998
V01186,Smith and Sons,1210510.4000000001
V00159,Mccarthy Inc,1209932.56
V03657,Glover-Coleman,1205173.4199999997
V02171,Mitchell Inc,1204345.35
V03654,"Warner, Oconnor and Smith",1194790.52
V02738,Ford-Chavez,1184235.48
V02868,"Roth, Logan and Moreno",1182478.7600000002
V02880,Hopkins-Wallace,1180191.6999999997
V04190,Burton-Oneal,1177743.06
V04234,"Brooks, Thompson and Alexander",1175529.5099999998
V04706,Gray Group,1170970.4
V00682,"Robinson, Shields and Brown",1168912.14
V04027,Hernandez-Foley,1165387.0799999998
V01277,Walker-Lewis,1163504.0899999999
V03776,"Valenzuela, Morris and Garcia",1162575.1
V04686,Harris-Jensen,1150512.4800000004
V02813,Huynh PLC,1148638.2799999998
V02403,"Harris, Stephens and Kramer",1147177.76
V03302,"Webb, Davis and Miranda",1141377.2900000003
V01651,"Fry, Wilson and Stewart",1140131.85
V01049,"Larsen, Hernandez and Ward",1128898.26
V04983,Mack-Carrillo,1126723.95
V01431,Valentine Ltd,1126206.1600000001
V02763,"Booth, Rodriguez and Armstrong",1125303.3000000003
V03322,"Reilly, Lee and Lopez",1117930.5699999998
V00178,Walker-Jones,1116333.9
V04690,Allen PLC,1114662.6400000001
V01296,Andrews and Sons,1108983.53
V02274,"Ward, Jordan and Orr",1108881.6899999995
V04149,"Rodriguez, Massey and Day",1104851.26
V02894,"Holland, Dixon and Martin",1101169.4100000001
V03894,Arnold-Boyer,1098063.85
V04393,Berg-Williamson,1097983.5899999999
V03603,Dennis-Wilson,1094308.9300000002
V02597,"Morse, Silva and Johnson",1093196.4099999992
V04851,Johnson-Smith,1090667.359999999
V01056,Watson Group,1083612.0
V02091,"Olsen, Walker and Vincent",1078891.4900000002
V04689,Sanchez Group,1070032.88
V01392,"Olson, Wood and Peters",1065364.41
V04151,ward ltd,1059708.04
V01721,"Hall, Roberts and Lee",1037871.5000000002
V03880,"Gill, Stewart and Nichols",1022417.9800000001
V03518,Anderson Inc,1006506.4200000004
V03885,Hines-Douglas,1005574.1599999998
V00597,Salas-Fitzgerald,1002941.9599999994
V04830,Hernandez-Moore,1002404.83
V04335,"Chavez, Conway and Sosa",1000954.5600000002
V03351,"Mcknight, Howard and Johnson",997875.06
V01609,Adams Group,995484.53
V01052,Little Inc,994238.4900000005
V01393,Hinton-Lane,987811.6000000001
V02713,Harris-Bennett,980334.7199999997
V02807,"Graves, Garcia and Holder",973382.0
V04475,Bryant-Gonzalez,968660.1599999998
V01236,"Ochoa, Garcia and Sandoval",968658.9600000009
V01760,Hill Inc,966862.41
V00286,Bowen Group,963483.3400000001
V01120,"Nguyen, Hill and Douglas",960359.4000000001
V03808,Wood LLC,959597.2199999999
V03493,Wallace LLC,958769.4
V02756,"Hernandez, Wright and Lane",945644.6200000002
V04972,Smith and Sons,944907.6199999999
V02649,Moore-Andrews,940648.6
V04840,Randall LLC,939950.96
V03889,Greene Ltd,937628.2299999999
V03806,Freeman-Yang,935626.6199999999
V00621,Santos-Avila,926445.4500000001
V00462,Burch-Montoya,923154.1
V03172,Gonzalez Group,923113.7100000003
V02027,"Mann, Wade and Spence",920252.1599999999
V01370,Jackson-Jennings,919414.6500000001
V03778,Alvarez-Rogers,918082.0599999999
V00396,Reed Inc,913884.48
V01325,Hill-Ward,906182.3700000003
V01837,Soto PLC,903539.04
V01105,Curry-Barker,899371.2
V04362,Waller Ltd,898826.0
V04220,"Haynes, Jennings and Ballard",898287.9899999998
V04975,Boyd-Vaughn,895324.3200000001
V03667,"Collins, Thomas and Soto",894998.5800000001
V00024,Morales-Jones,881489.3399999999
V01936,"Nelson, Cole and Allen",880654.1699999999
V03311,Robinson LLC,879618.3900000004
V01871,Lee-Johnson,878562.9299999997
V02247,Burke-Hernandez,872631.3599999996
V03988,Bates LLC,870849.8400000001
V03290,"Barrera, Wood and Leach",866862.4299999999
V01090,Mccann-Ramos,866465.71
V00070,Hancock Inc,863497.2
V02101,Johnson-Thomas,860816.6699999999
V01648,"Roach, Browning and Jordan",844570.7100000001
V03476,Smith Inc,844004.9400000001
V01500,"Smith, Weeks and Arroyo",842476.5999999996
V01087,Morgan LLC,833707.21
V02421,Gibson-Thomas,833592.49
V02893,Klein PLC,832343.9300000002
V00303,Santana-Byrd,828312.5999999996
V03052,Perez Group,824532.8500000001
V02669,"Brady, James and Reese",822888.9899999998
V03551,Benjamin and Sons,818159.7200000002
V02176,Simmons-Reed,816435.6799999996
V02581,Wood LLC,806198.8
V03581,"Hendricks, Zuniga and Miller",803513.4999999999
V00311,"Beltran, Lozano and Mcgee",797859.12
V01640,Raymond LLC,790652.8
V04592,Miller Ltd,789144.98
V03083,Allison-Delacruz,784411.2000000001
V00061,"Brown, Valdez and Lucas",783283.7300000002
V02604,"Oliver, Simmons and Mcdonald",783085.64
V02159,Watkins-Lozano,782714.3399999999
V04213,"Matthews, Huffman and Arellano",781662.6400000001
V00355,"Fisher, Wilson and Brown",780636.55
V02596,Wells-Perkins,779774.3200000003
V03562,Frost and Sons,778623.3
V01231,Ellis-Lawrence,774875.2999999999
V01606,castillo and sons,765917.1299999999
V01187,"Holland, Murphy and Kline",764668.46
V02878,"Jackson, Rowland and Barrett",763382.46
V01991,Fitzgerald-Brown,762938.98
V01167,Wallace-Martinez,759091.4700000002
V00356,Strickland-Palmer,755862.3800000001
V00058,"Johnston, Sanchez and Kennedy",754667.2000000001
V04600,"Valdez, Williams and Richards",752717.4999999999
V04276,Becker-Mckinney,748363.2300000001
V04597,Sutton PLC,746077.3599999996
V04013,Decker Inc,741488.3800000001
V02620,Grimes and Sons,738427.5799999998
V00920,Collins Group,735383.96
V00787,Maldonado PLC,730205.2800000003
V01248,"Butler, Adkins and Skinner",727955.74
V02089,Preston-Harper,724055.22
V03483,Bell-Cooper,721520.7099999993
V01436,Lowe Ltd,715494.0800000001
V01608,"Gilbert, Fitzgerald and Sanchez",715073.17
V02048,Bell-Madden,707869.8199999998
V04694,Griffin-Hall,704875.0800000001
V03934,Wong-Harrell,699134.1600000004
V04524,Vincent LLC,695613.2699999999
V00644,"Young, Contreras and Marshall",692157.45
V00768,"Davis, George and Nguyen",689116.89
V01263,Greer-Pruitt,685746.57
V01600,Maddox-Mullins,685364.4199999999
