vendor_id,vendor_name,risk_category
V00286,Bowen Group,Medium
V00287,"Booker, Jones and Harrington",Low
V00288,Morgan-Schwartz,High
V00289,"Miller, Murphy and Craig",Medium
V00290,"James, Stewart and Higgins",
V00291,Brennan-Johnson,Medium
V00292,Young Ltd,Medium
V00293,Bright-Francis,Low
V00294,Good-Hodges,Low
V00295,"Brennan, Wallace and Benson",Medium
V00296,Williams Inc,High
V00297,Howard-Jordan,High
V00298,Schmidt PLC,Medium
V00299,"Sparks, Jackson and Miller",Medium
V00300,Harvey-Allen,Medium
V00301,"Thomas, Murray and King",High
V00302,Estrada-Nolan,Low
V00303,Santana-Byrd,Low
V00304,Jones LLC,High
V00305,"Evans, Hayden and Vaughn",High
V00306,Bruce-Gonzalez,Medium
V00307,Castaneda-Rodriguez,High
V00308,Armstrong-Andrews,High
V00309,"Phillips, Spence and Barrett",Medium
V00310,Smith-Grimes,High
V00311,"Beltran, Lozano and Mcgee",Low
V00312,Parsons-Hall,Medium
V00313,Robinson-Lee,High
V00314,Byrd-Le,Low
V00315,"Becker, Taylor and Davis",Medium
V00316,"Lucas, Parker and Alexander",High
V00317,"Diaz, Anderson and Browning",Low
V00318,Burgess-Thompson,Medium
V00319,Buchanan LLC,Medium
V00320,"Shaw, Nelson and Martin",Medium
V00321,Coffey-Phillips,High
V00322,Brock-Mcdonald,High
V00323,Taylor and Sons,Low
V00324,"Ramsey, Whitney and Coffey",Low
V00325,"Diaz, Gibbs and Smith",Medium
V00326,"Martinez, Richardson and Curry",Low
V00327,Richards-Carson,Low
V00328,Rodriguez-Hall,High
V00329,Harvey PLC,Medium
V00330,Herman-Walker,Low
V00331,Reid Group,Low
V00332,"Turner, Ortiz and Taylor",High
V00333,Torres Group,High
V00334,Davis PLC,Low
V00335,Price LLC,Medium
V00336,"Avery, Horton and Fernandez",Low
V00337,"Newton, Moore and Perry",High
V00338,Bass PLC,Low
V00339,Crosby-Ramirez,High
V00340,"Wood, Ramos and Sampson",High
V00341,Garcia-Jennings,Medium
V00342,"Winters, Newman and Brown",Medium
V00343,Lopez-Martinez,Low
V00344,Davis-Lewis,High
V00345,"Harper, Smith and Buchanan",Medium
V00346,Zhang PLC,Medium
V00347,Jones PLC,Medium
V00348,Willis and Sons,Medium
V00349,Schroeder-Kramer,High
V00350,"Smith, Garrison and Thomas",Low
V00351,Fernandez and Sons,Medium
V00352,Guerrero Inc,Medium
V00353,Smith and Sons,Low
V00354,"Morris, Thompson and Williams",Medium
V00355,"Fisher, Wilson and Brown",Medium
V00356,Strickland-Palmer,Medium
V00357,Hayes and Sons,Low
V00358,"Williams, Logan and Camacho",High
V00359,"Turner, Schneider and Johnson",High
V00360,Boone-Simmons,High
V00361,Henry Group,Medium
V00362,Lam LLC,Medium
V00363,"Hernandez, Martinez and Weber",Low
V00364,"Kelley, Nguyen and Vang",High
V00365,"Phillips, Wagner and Jordan",High
V00366,"Wilson, Pena and Rich",High
V00367,"Le, Lewis and Hayes",Medium
V00368,Gutierrez Group,Low
V00369,Perry-Davis,Low
V00370,Edwards-Scott,Medium
V00371,Mcdaniel Group,Low
V00372,Davis Inc,Medium
V00373,Reynolds Ltd,High
V00374,"Watson, Anderson and Brown",Medium
V00375,"Hoffman, Santiago and Jenkins",High
V00376,"Pugh, Henderson and Moon",Medium
V00377,Schmitt PLC,Low
V00378,Bell-Lane,Low
V00379,Moore Group,High
V00380,Boone LLC,Low
V00381,"Richardson, Farmer and Andrews",High
V00382,Bruce-Villegas,Low
V00383,"Austin, Day and Johnson",Low
V00384,"Gallegos, Adams and White",Low
V00385,"Farmer, Dorsey and Bell",Low
V00386,Kane PLC,High
V00387,"Morales, Thomas and Schultz",Medium
V00388,Davis PLC,High
V00389,Bennett Group,High
V00390,Moore-Collins,Medium
V00391,frank-bradley,Medium
V00392,Ware and Sons,Medium
V00393,Webster Inc,High
V00394,"Miller, Ramos and Coleman",Medium
V00395,"Ramos, Nelson and Fischer",High
V00396,Reed Inc,Low
V00397,Gregory-Watkins,Low
V00398,"Estrada, Williams and Foster",Low
V00399,"Brown, Harris and Dougherty",High
V00400,Duran LLC,Medium
V00401,Wilson-Jimenez,Medium
V00402,Thompson-James,High
V00403,"Hall, Hansen and Barnett",Low
V00404,Jones-Hensley,Low
V00405,Graham Group,High
V00406,Atkins PLC,High
V00407,Berry-Mckinney,Low
V00408,Roberts-Sullivan,High
V00409,Jackson-Meza,Medium
V00410,Collier-Gillespie,Low
V00411,Kim Inc,Low
V00412,Graham Group,Low
V00413,"Miller, Harrell and Reese",Medium
V00414,Cook and Sons,High
V00415,Dixon Inc,Low
V00416,"Hicks, Bullock and Bailey",Medium
V00417,"Mullen, Brewer and Hernandez",Low
V00418,Thomas and Sons,High
V00419,Morrison Ltd,Low
V00420,Thompson Ltd,Low
V00421,Marshall-Elliott,Low
V00422,"Cole, Glass and Cunningham",High
V00423,"Downs, Morris and Maddox",High
V00424,Hernandez-Jones,Low
V00425,Welch-Hogan,Medium
V00426,"Brown, Romero and Collins",Low
V00427,Johnson-Wood,High
V00428,Jones-Lin,High
V00429,Gilbert PLC,High
V00430,Ford-Spencer,High
V00431,"Huang, Cole and Pacheco",Medium
V00432,"Lopez, Jacobs and Mason",High
V00433,Hayes LLC,Medium
V00434,"Miller, Lucas and Williams",High
V00435,"Kim, Gonzales and Mills",High
V00436,Cox LLC,Low
V00437,Ortiz-Morgan,Low
V00438,"Williams, Mccoy and Cook",High
V00439,Davis-Gregory,Low
V00440,King-York,
V00441,"Marks, Cook and Aguilar",Low
V00442,Rangel LLC,High
V00443,"Hale, Myers and Larson",Medium
V00444,Collins Group,Medium
V00445,"Conner, Li and Santiago",Medium
V00446,"Osborn, Gaines and Davis",Medium
V00447,"Henderson, Cox and Cox",High
V00448,Bean LLC,High
V00449,Lee-Cooke,Low
V00450,Jones Inc,Medium
V00451,"Wise, Conley and Stephenson",Low
V00452,Stanley PLC,High
V00453,Harper and Sons,Medium
V00454,White Ltd,Low
V00455,"Lamb, Martin and Kim",Medium
V00456,Diaz-Ball,High
V00457,Bishop-Goodwin,Low
V00458,Young-Allen,Medium
V00459,Mckee-Lee,Low
V00460,"Valentine, Joyce and Murray",
V00461,Strickland-Shaw,Medium
V00462,Burch-Montoya,High
V00463,"Taylor, Wright and Davidson",Low
V00464,Spencer-Garcia,High
V00465,"Rosales, Mitchell and Hines",High
V00466,Cole-Palmer,Low
V00467,Davis-Lozano,High
V00468,Wilkerson-Arias,Medium
V00469,Brown-Shaw,High
V00470,Hughes Inc,High
V00471,Walker-Flores,Medium
V00472,Combs Ltd,Medium
V00473,Moody-Taylor,High
V00474,Lowery-Kennedy,High
V00475,Blake Group,Low
V00476,Gilbert-Bullock,
V00477,Scott and Sons,Medium
V00478,"Bentley, Lynch and Henderson",High
V00479,Young-Martinez,High
V00480,Barnes PLC,Medium
V00481,Brown-Copeland,High
V00482,Carlson-Smith,High
V00483,"Andrews, Higgins and Carter",High
V00484,Mendez and Sons,Medium
V00485,"Butler, Beck and Miller",Medium
V00486,Jones-Fox,Medium
V00487,"Hartman, Romero and Smith",Medium
V00488,Williams-Hughes,
V00489,King-Smith,Medium
V00490,Cooper Ltd,Low
V00491,"Fuller, Ingram and Moss",Low
V00492,Anderson-Bell,Low
V00493,Li-Thompson,High
V00494,"Marshall, Dominguez and Welch",High
V00495,Brown Group,Low
V00496,Carter Inc,Medium
V00497,Blackwell LLC,Medium
V00498,Robertson-Hays,Medium
V00499,"Kennedy, Johnson and Lucas",High
V00500,Kelly-Norman,Low
V00501,"Rivera, Martinez and Richardson",Medium
V00502,Paul-Kline,
V00503,Morgan-Lopez,Medium
V00504,"Jimenez, Glass and Stone",Low
V00505,Acosta Inc,Low
V00506,Morrison-Short,High
V00507,"Carter, Garcia and Murphy",High
V00508,Parker-Morrison,Medium
V00509,Jackson-Wallace,Low
V00510,Williams-Berg,Low
V00511,Mendez-Graham,Medium
V00512,"Whitney, Gould and Jones",Medium
V00513,"Sullivan, Palmer and Brady",High
V00514,Cisneros and Sons,High
V00515,"Gregory, Kim and Martinez",High
V00516,Osborne LLC,Medium
V00517,Reyes-Bradley,Medium
V00518,"Hernandez, Cole and Watson",Medium
V00519,Hines-Berry,Low
V00520,"Richardson, Edwards and Ramirez",High
V00521,Johnson and Sons,High
V00522,Holmes-Mcintyre,High
V00523,Green LLC,Low
V00524,"Griffin, Davies and Mitchell",Low
V00525,Gonzalez-Taylor,Medium
V00526,Hayes Ltd,High
V00527,osborn-cochran,Medium
V00528,Contreras-Mckinney,High
V00529,"Daniels, Vance and York",High
V00530,"Mckinney, Graves and Thompson",
V00531,Hicks-Martinez,High
V00532,Conner and Sons,Medium
V00533,Johnson-Spencer,Medium
V00534,Mcdonald-Bird,High
V00535,Salazar Inc,High
V00536,Parker Ltd,Low
V00537,"Mendoza, Jenkins and Ortiz",High
V00538,"Jones, Compton and Day",Medium
V00539,Owens-Holmes,Low
V00540,Humphrey PLC,Low
V00541,"Matthews, Saunders and Anderson",Medium
V00542,"Bartlett, Brown and Martinez",Low
V00543,Torres and Sons,High
V00544,Donovan-Perez,Low
V00545,"Jacobson, Singleton and King",High
V00546,"Huber, Hill and Weber",Low
V00547,"Ferguson, Shaw and Jackson",Medium
V00548,"Moore, Hopkins and Le",High
V00549,"Morgan, Bradshaw and Williams",Medium
V00550,Miller Ltd,High
V00551,"Baker, Clark and Armstrong",Low
V00552,"Fowler, Jimenez and Burton",Medium
V00553,May-Turner,Low
V00554,Ballard Ltd,Medium
V00555,Evans-Jones,Medium
V00556,Moore Group,Low
V00557,Marshall-Peterson,Low
V00558,Edwards Ltd,Medium
V00559,Gross-Valencia,Low
V00560,Anderson-Wood,High
V00561,"Rodriguez, Allen and Martinez",High
V00562,Wright-Davis,High
V00563,Dougherty-Lin,High
V00564,Wright-Grimes,High
V00565,Li PLC,Medium
V00566,"Edwards, Hines and Jimenez",Low
V00567,"Owens, Koch and Jimenez",Low
V00568,Landry PLC,Medium
V00569,Levy-Lewis,High
V00570,Williams-Campbell,Medium
V00571,"Khan, Pena and Ruiz",Medium
V00572,"Smith, Rodriguez and Anderson",Low
V00573,Luna-Gallagher,
V00574,Williams-Williams,Low
V00575,"lee, tran and jones",Low
V00576,"Cole, Pierce and Bryan",Medium
V00577,"becker, wilson and hester",High
V00578,Brooks-Hatfield,
V00579,"Mcmillan, Fischer and Gonzalez",Low
V00580,"Morales, Williams and Williams",Low
V00581,"Cook, Wells and Bryant",Low
V00582,"Barry, Taylor and Velazquez",Medium
V00583,Martin-Ewing,Medium
V00584,"Kirby, Wheeler and Romero",Medium
V00585,"Patel, Erickson and Evans",Low
V00586,Richardson Ltd,Low
V00587,Whitney PLC,Medium
V00588,Robles-Swanson,High
V00589,"Soto, Carlson and Baker",Low
V00590,"Patton, Parsons and Lane",
V00591,"Williams, Castillo and Warren",High
V00592,"Harvey, Randall and Hernandez",Low
V00593,"Allen, Armstrong and Graves",Low
V00594,Smith LLC,High
V00595,Hernandez-Vaughn,High
V00596,Shaw-Carr,Low
V00597,Salas-Fitzgerald,Medium
V00598,Thornton PLC,
V00599,Hoffman Ltd,Medium
V00600,Fox-Edwards,Medium
V00601,Stevens PLC,Low
V00602,Payne-Lowe,High
V00603,"Becker, Lara and Baker",High
V00604,Lee-Wright,Medium
V00605,"Evans, David and Hendrix",Medium
V00606,Bush-Vaughn,Low
V00607,Stewart-Bailey,
V00608,"Hill, Martinez and Rhodes",High
V00609,Huang-Foster,Low
V00610,Blevins-Ballard,High
V00611,Williams-Moses,High
V00612,Reed Group,Low
V00613,"Scott, Mendoza and Harris",Low
V00614,"Nelson, Hoffman and Nelson",Medium
V00615,Gilbert PLC,High
V00616,Sanchez Ltd,Medium
V00617,"Perez, Hall and Garcia",Medium
V00618,Love-Garcia,Medium
V00619,Smith PLC,Medium
V00620,Russell Group,Medium
V00621,Santos-Avila,Medium
V00622,Morris-Brewer,Medium
V00623,Pearson and Sons,Medium
V00624,"Rodgers, Jefferson and Johnson",High
V00625,Butler and Sons,High
V00626,Osborn Group,Medium
V00627,Lopez-Curry,Low
V00628,Mcdowell-Smith,Medium
V00629,"Morrison, Hebert and Rogers",High
V00630,Hays-Daniels,
V00631,Small-Anderson,Low
V00632,"Mcdonald, Lee and Rodriguez",Low
V00633,Simon Ltd,Medium
V00634,Higgins-Smith,Low
V00635,Gibbs-Bradley,Medium
V00636,Thompson Ltd,Medium
V00637,Wilcox-Robertson,Medium
V00638,Morales Inc,Medium
V00639,Holden Group,High
V00640,Boyle-Smith,High
V00641,Young-Molina,Low
V00642,Turner-Sharp,High
V00643,Green LLC,High
V00644,"Young, Contreras and Marshall",Medium
V00645,Sullivan PLC,Low
V00646,"Carrillo, Vaughn and Fowler",High
V00647,Richardson-Walker,
V00648,Mendoza Group,High
V00649,"Zhang, Brooks and Miles",High
V00650,Todd-Pham,Low
V00651,Gill Ltd,High
V00652,"Marks, Miller and Griffin",Medium
V00653,"Cox, Stark and Rodriguez",High
V00654,"Leach, Harris and Herrera",High
V00655,Murphy PLC,Low
V00656,Wilson-Harris,Medium
V00657,"Burns, Nolan and Griffin",Low
V00658,Chavez PLC,High
V00659,Bryant-Brown,Medium
V00660,Chambers-Parker,Low
V00661,Foster Inc,High
V00662,"Robinson, Jones and Henderson",Medium
V00663,"Brown, Mcknight and Michael",Low
V00664,Andersen Group,
V00665,Mitchell and Sons,Low
V00666,Cannon Ltd,High
V00667,"Stuart, Brooks and Vance",High
V00668,Kane-Knox,High
V00669,Miller-Brandt,Low
V00670,"Anderson, Dalton and Wilson",Medium
V00671,"Long, Anderson and Irwin",Medium
V00672,Avila LLC,Low
V00673,Nunez-Stephens,High
V00674,"Gray, Hall and Murray",Low
V00675,Hill Ltd,High
V00676,Johnson Ltd,High
V00677,Mendez-Mayer,Low
V00678,Allen Inc,Medium
V00679,Wheeler Group,Low
V00680,"Powers, Brennan and Sanchez",High
V00681,Morales and Sons,High
V00682,"Robinson, Shields and Brown",Medium
V00683,"Holder, Young and Hendricks",Medium
V00684,"Flores, Harper and Chambers",High
V00685,Young-Walter,Low
V00686,"Boyd, Gutierrez and Hill",Low
V00687,"Fry, Hobbs and Buck",Medium
V00688,"Shelton, Peters and Williams",Medium
V00689,David-Powers,Low
V00690,"Flores, Butler and Hernandez",Low
V00691,White-Medina,Low
V00692,Atkinson LLC,High
V00693,"Thomas, Ford and Brown",Low
V00694,Faulkner-Grant,High
V00695,Price LLC,High
V00696,Rivera Inc,Medium
V00697,Boone-Davis,Low
V00698,"calderon, williams and bennett",High
V00699,"Morrison, Russo and Lopez",Low
V00700,"Ramsey, Hansen and Mendoza",Medium
V00701,Turner-Stout,Low
V00702,Giles Ltd,Medium
V00703,Burgess Group,High
V00704,Dominguez Ltd,High
V00705,Sanders and Sons,High
V00706,"Morris, Campbell and Owens",Low
V00707,"Howard, Green and Hunt",High
V00708,Owens-Lang,Medium
V00709,"Harrison, Franco and Rocha",Low
V00710,Edwards-Williams,
V00711,Figueroa Inc,Low
V00712,Tran-Silva,Medium
V00713,"Butler, Hernandez and Rivera",Medium
V00714,hudson-sanchez,High
V00715,"Pena, Cohen and Scott",Medium
V00716,Levy-May,Medium
V00717,Murray-Oconnor,
V00718,Jackson-Cortez,
V00719,White-Preston,High
V00720,"Bernard, Warren and Combs",Medium
V00721,Landry Ltd,Medium
V00722,Duran Group,Low
V00723,Kirby and Sons,Medium
V00724,Mann Inc,Low
V00725,Wagner LLC,Medium
V00726,Williamson Ltd,
V00727,"Durham, Hopkins and Smith",Low
V00728,"Arnold, Smith and Moreno",Low
V00729,Nichols-Mitchell,High
V00730,"Li, Craig and Drake",Medium
V00731,Rodriguez Inc,Medium
V00732,"Hernandez, Lee and Fox",Medium
V00733,Adams-Sanders,High
V00734,Chung-Stevens,High
V00735,branch and sons,Low
V00736,Sutton-Abbott,Medium
V00737,"Frey, Santos and Johnson",Low
V00738,Gray-Tran,Low
V00739,Walsh Ltd,Medium
V00740,Miller Group,High
V00741,"Mueller, Knight and Hodge",High
V00742,Jacobson Inc,Medium
V00743,Lewis Ltd,Medium
V00744,"Alvarez, Williams and Jones",Low
V00745,Lam-Elliott,Medium
V00746,White LLC,High
V00747,Ali PLC,
V00748,Goodwin Ltd,High
V00749,Hickman-Evans,
V00750,"Allen, Davenport and Price",Low
V00751,"Rivera, Campos and Taylor",Medium
V00752,"Ramsey, Mason and Mccann",High
V00753,Davis and Sons,High
V00754,Peterson PLC,High
V00755,"Sanders, Ayala and Johnson",High
V00756,Bowers-Hayes,Medium
V00757,Kelly Group,Medium
V00758,Lopez-Willis,High
V00759,Miller-Montgomery,Medium
V00760,Marquez Inc,High
V00761,Moore-Dawson,Medium
V00762,"Moore, Price and Ward",Low
V00763,Smith LLC,Low
V00764,Ward-Nelson,Low
V00765,Miller Group,High
V00766,Hawkins-Hunt,High
V00767,Johnson LLC,Low
V00768,"Davis, George and Nguyen",Low
V00769,Smith-Gutierrez,
V00770,Hardy PLC,Low
V00771,Armstrong and Sons,High
V00772,"James, Taylor and Turner",Low
V00773,Thomas-Jackson,Low
V00774,Fisher-Washington,
V00775,Ward and Sons,High
V00776,"Weber, Wheeler and Gonzalez",Low
V00777,Taylor Inc,Low
V00778,Cook-Oliver,
V00779,Alexander-Jordan,High
V00780,"Mccann, Taylor and Flores",Low
V00781,"Harris, Edwards and Oconnell",Low
V00782,Carter-Neal,High
V00783,Faulkner-Casey,Medium
V00784,Bennett-Velasquez,Medium
V00785,Diaz-Frederick,Medium
V00786,Vargas PLC,Low
V00787,Maldonado PLC,Medium
V00788,Benton Group,Low
V00789,"Clark, Salinas and Guerra",High
